Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,17.53,17.58,17.38,17.43,17.3084,5066057
2017-04-18,17.42,17.44,17.115,17.34,17.219,11434006
2017-04-19,17.27,17.29,17.14,17.18,17.0601,7431458
2017-04-20,17.11,17.19,16.92,17.06,16.9409,10709892
2017-04-21,16.97,17.02,16.865,17.02,16.9012,10720592
2017-04-24,16.84,16.99,16.79,16.98,16.8615,6885114
2017-04-25,16.74,16.8,16.62,16.68,16.5636,8457961
2017-04-26,16.57,16.6,16.4,16.57,16.4544,9668600
2017-04-27,16.49,16.49,16.35,16.37,16.2558,9606652
2017-04-28,16.31,16.39,16.25,16.3,16.1862,7524077
2017-05-01,16.22,16.28,15.9,15.99,15.8784,13640156
2017-05-02,15.97,15.98,15.89,15.93,15.8188,7183634
2017-05-03,15.79,15.8,15.58,15.59,15.4812,10586772
2017-05-04,15.48,15.57,15.35,15.43,15.3223,12118179
2017-05-05,15.43,15.51,15.36,15.5,15.3918,8476591
2017-05-08,15.43,15.47,15.38,15.41,15.3025,6149623
2017-05-09,15.35,15.35,15.21,15.3,15.1932,7632302
2017-05-10,15.38,15.4,15.32,15.35,15.2429,6780401
2017-05-11,15.37,15.47,15.35,15.45,15.3422,7017943
2017-05-12,15.57,15.61,15.53,15.57,15.4613,6334541
2017-05-15,15.865,15.88,15.72,15.75,15.6401,6766116
2017-05-16,15.82,15.98,15.8,15.93,15.8188,6901751
2017-05-17,16.08,16.13,15.87,16.0,15.8883,11164130
2017-05-18,15.88,15.89,15.56,15.71,15.6004,9208010
2017-05-19,15.94,15.96,15.85,15.94,15.8288,6136067
2017-05-22,16.1,16.29,16.09,16.23,16.1167,6458044
2017-05-23,16.34,16.38,16.1135,16.15,16.0373,8053586
2017-05-24,16.12,16.28,16.1,16.28,16.1664,6475738
2017-05-25,16.29,16.32,16.2106,16.23,16.1167,4171640
2017-05-26,16.38,16.45,16.3141,16.4,16.2855,5724862
2017-05-30,16.39,16.52,16.39,16.47,16.3551,6493034
2017-05-31,16.35,16.495,16.33,16.39,16.2756,5178610
2017-06-01,16.16,16.41,16.14,16.38,16.2657,5242117
2017-06-02,16.45,16.64,16.44,16.59,16.4742,6867958
2017-06-05,16.64,16.71,16.595,16.63,16.5139,4483177
2017-06-06,16.73,16.8,16.69,16.76,16.643,5424070
2017-06-07,16.7,16.78,16.5743,16.65,16.5338,4312664
2017-06-08,16.68,16.68,16.37,16.49,16.3749,7440389
2017-06-09,16.32,16.35,16.25,16.28,16.1664,5441106
2017-06-12,16.11,16.18,16.0,16.04,15.9281,5966830
2017-06-13,15.85,16.0,15.82,15.95,15.8387,9314010
2017-06-14,16.3,16.37,15.94,15.95,15.8387,13651500
2017-06-15,15.82,15.94,15.79,15.88,15.7692,6266507
2017-06-16,15.81,15.82,15.75,15.79,15.6798,4806695
2017-06-19,15.68,15.7,15.6,15.61,15.5011,7444926
2017-06-20,15.57,15.61,15.51,15.59,15.4812,6194251
2017-06-21,15.52,15.585,15.5,15.54,15.4315,6018918
2017-06-22,15.68,15.73,15.63,15.68,15.5706,5295659
2017-06-23,15.83,15.8456,15.7602,15.79,15.6798,5237671
2017-06-26,15.71,15.735,15.65,15.68,15.5706,3805360
2017-06-27,15.73,15.85,15.675,15.79,15.6798,4350081
2017-06-28,15.89,15.92,15.816,15.92,15.8089,4787983
2017-06-29,15.74,15.85,15.71,15.73,15.6202,5029964
2017-06-30,15.72,15.78,15.7,15.71,15.6004,3820326
2017-07-03,15.37,15.43,15.23,15.3,15.1932,7903599
2017-07-05,15.07,15.19,15.04,15.18,15.0741,9527474
2017-07-06,15.15,15.17,15.075,15.15,15.0443,5154518
2017-07-07,14.95,14.96,14.53,14.73,14.6272,19192389
2017-07-10,14.46,14.9,14.44,14.83,14.7265,14637895
2017-07-11,14.85,15.0,14.76,14.99,14.8854,7774360
2017-07-12,15.09,15.12,15.0233,15.05,14.945,8272880
2017-07-13,15.04,15.05,14.84,14.87,14.7662,7214910
2017-07-14,15.14,15.22,15.01,15.08,14.9748,7841837
2017-07-17,15.27,15.32,15.22,15.22,15.1138,7567182
2017-07-18,15.37,15.45,15.3233,15.38,15.2727,7794600
2017-07-19,15.43,15.48,15.33,15.4,15.2925,5131273
2017-07-20,15.38,15.53,15.3,15.42,15.3124,7564096
2017-07-21,15.57,15.629,15.52,15.6,15.4911,7450358
2017-07-24,15.66,15.67,15.54,15.58,15.4713,5812744
2017-07-25,15.62,15.72,15.56,15.59,15.4812,6720359
2017-07-26,15.56,15.79,15.52,15.75,15.6401,9831234
2017-07-27,15.9,15.9,15.65,15.68,15.5706,7377167
2017-07-28,15.76,15.84,15.74,15.81,15.6997,5840991
2017-07-31,15.9,15.96,15.86,15.9,15.789,5672180
2017-08-01,15.83,15.92,15.79,15.79,15.6798,6443638
2017-08-02,15.69,15.86,15.66,15.67,15.5606,6322226
2017-08-03,15.72,15.79,15.7,15.72,15.6103,5365416
2017-08-04,15.54,15.56,15.31,15.38,15.2727,12170841
2017-08-07,15.27,15.41,15.27,15.33,15.223,4191890
2017-08-08,15.51,15.58,15.36,15.56,15.4514,7409420
2017-08-09,15.86,16.01,15.83,15.98,15.8685,12546203
2017-08-10,16.26,16.28,16.1,16.18,16.0671,10522558
2017-08-11,16.09,16.18,16.03,16.17,16.0572,6302184
2017-08-14,16.14,16.22,16.08,16.13,16.0174,5294939
2017-08-15,15.71,15.84,15.68,15.74,15.6302,8833983
2017-08-16,15.77,16.18,15.77,16.15,16.0373,9819967
2017-08-17,16.18,16.2288,16.04,16.12,16.0075,6398735
2017-08-18,16.21,16.24,16.04,16.1,15.9876,8798685
2017-08-21,16.12,16.19,16.05,16.07,15.9579,4983025
2017-08-22,16.14,16.16,15.95,16.07,15.9579,5127338
2017-08-23,16.12,16.16,16.04,16.15,16.0373,3175388
2017-08-24,16.04,16.08,15.95,16.03,15.9181,4151372
2017-08-25,16.18,16.21,15.81,16.11,15.9976,11920064
2017-08-28,16.24,16.52,16.2108,16.5,16.3849,11081495
2017-08-29,16.67,16.68,16.32,16.42,16.3054,12355652
2017-08-30,16.44,16.5,16.42,16.46,16.3451,3300529
2017-08-31,16.46,16.66,16.4576,16.65,16.5338,6445913
2017-09-01,16.71,16.77,16.55,16.73,16.6132,7278945
2017-09-05,16.94,17.01,16.83,16.91,16.792,10761363
2017-09-06,16.99,17.0,16.83,16.87,16.7523,8542048
2017-09-07,16.99,17.14,16.965,17.1,16.9807,9221553
2017-09-08,17.12,17.13,16.9199,17.02,16.9012,7804465
2017-09-11,16.85,16.93,16.76,16.77,16.653,7282225
2017-09-12,16.83,16.9199,16.8001,16.89,16.7721,4304074
2017-09-13,16.81,16.83,16.69,16.76,16.643,6739226
2017-09-14,16.71,16.81,16.7,16.77,16.653,4091825
2017-09-15,16.72,16.72,16.61,16.62,16.504,4172830
2017-09-18,16.39,16.41,16.12,16.27,16.1565,11597634
2017-09-19,16.27,16.38,16.245,16.36,16.2458,4238754
2017-09-20,16.31,16.43,16.03,16.19,16.077,10542139
2017-09-21,15.96,16.105,15.941,16.03,15.9181,7150206
2017-09-22,16.01,16.0899,15.9801,16.05,15.938,3621233
2017-09-25,15.95,16.22,15.91,16.21,16.0969,8925880
2017-09-26,16.02,16.02,15.85,15.91,15.799,7685304
2017-09-27,15.82,15.975,15.82,15.83,15.7195,9022065
2017-09-28,15.88,15.96,15.8,15.92,15.8089,4344038
2017-09-29,15.87,15.9039,15.71,15.74,15.6302,6330528
2017-10-02,15.75,15.806,15.66,15.67,15.5606,5120984
2017-10-03,15.69,15.745,15.68,15.71,15.6004,3838606
2017-10-04,15.72,15.76,15.62,15.69,15.5805,6719332
2017-10-05,15.76,15.81,15.66,15.69,15.5805,4530584
2017-10-06,15.67,15.93,15.42,15.85,15.7394,12107649
2017-10-09,15.95,16.04,15.9366,16.02,15.9082,5576184
2017-10-10,16.23,16.29,16.15,16.15,16.0373,8348238
2017-10-11,16.2,16.28,16.11,16.25,16.1366,6933455
2017-10-12,16.22,16.3,16.16,16.26,16.1465,4340332
2017-10-13,16.38,16.43,16.31,16.41,16.2955,6616929
2017-10-16,16.43,16.49,16.15,16.25,16.1366,7914337
2017-10-17,16.11,16.17,16.02,16.09,15.9777,7724442
2017-10-18,16.06,16.09,16.01,16.06,15.9479,4124872
2017-10-19,16.06,16.305,16.05,16.27,16.1565,7656627
2017-10-20,16.17,16.26,15.98,16.08,15.9678,8794376
2017-10-23,15.97,16.16,15.92,16.14,16.0274,6320440
2017-10-24,16.02,16.1,15.94,16.02,15.9082,6171732
2017-10-25,16.04,16.05,15.935,16.01,15.8983,4316479
2017-10-26,15.97,16.0,15.8153,15.85,15.7394,6617974
2017-10-27,15.74,15.929,15.695,15.91,15.799,7225612
2017-10-30,15.86,15.9572,15.8048,15.91,15.799,3854257
2017-10-31,15.82,15.85,15.71,15.79,15.6798,10656744
2017-11-01,15.95,16.235,15.9301,16.18,16.0671,10689112
2017-11-02,16.18,16.28,16.09,16.17,16.0572,5499608
2017-11-03,16.2,16.22,15.84,15.92,15.8089,6779743
2017-11-06,15.94,16.3,15.94,16.27,16.1565,9790993
2017-11-07,16.21,16.23,15.9725,16.01,15.8983,6467645
2017-11-08,16.14,16.29,16.05,16.06,15.9479,6397543
2017-11-09,16.02,16.1,15.99,16.07,15.9579,4291536
2017-11-10,16.1,16.15,15.85,15.95,15.8387,7895177
2017-11-13,16.04,16.12,15.99,16.09,15.9777,5959440
2017-11-14,16.01,16.14,15.925,16.08,15.9678,6728562
2017-11-15,16.19,16.21,16.0,16.03,15.9181,6371336
2017-11-16,16.1,16.17,16.09,16.12,16.0075,4404873
2017-11-17,16.14,16.41,16.1,16.31,16.1962,9025155
2017-11-20,16.14,16.17,15.9,15.98,15.8685,12877676
2017-11-21,16.04,16.105,15.99,16.01,15.8983,5835837
2017-11-22,16.15,16.205,16.13,16.17,16.0572,5600427
2017-11-24,16.1,16.18,16.05,16.08,15.9678,2423836
2017-11-27,16.2,16.21,16.06,16.1,15.9876,4960258
2017-11-28,16.11,16.1199,15.82,15.91,15.799,13159703
