Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-18,45.0,45.05,44.77,44.995,44.995,30216
2017-04-19,45.02,45.09,44.98,45.09,45.09,36308
2017-04-20,45.02,45.02,44.83,44.985,44.985,56547
2017-04-21,45.23,45.23,45.09,45.14,45.14,114123
2017-04-24,45.34,45.54,45.27,45.31,45.31,31304
2017-04-25,45.32,45.39,45.28,45.325,45.325,65025
2017-04-26,45.29,45.425,45.28,45.425,45.425,38114
2017-04-27,45.34,45.41,45.22,45.28,45.28,18095
2017-04-28,45.26,45.26,45.06,45.1,45.1,27697
2017-05-02,45.75,45.75,45.0,45.1,45.1,178975
2017-05-03,45.09,45.15,44.96,44.96,44.96,29003
2017-05-04,44.96,45.07,44.89,44.94,44.94,52393
2017-05-05,45.02,45.2,45.02,45.14,45.14,19520
2017-05-08,45.24,45.29,45.09,45.12,45.12,73876
2017-05-09,45.21,45.25,44.96,45.25,45.25,250541
2017-05-10,45.09,45.25,45.08,45.25,45.25,28481
2017-05-11,45.27,45.27,44.93,44.975,44.975,684087
2017-05-12,45.1,45.1,44.9604,44.99,44.99,30924
2017-05-15,44.98,45.2,44.91,45.15,45.15,89592
2017-05-16,45.19,45.19,44.9,44.975,44.975,126037
2017-05-17,44.75,44.79,44.64,44.72,44.72,77446
2017-05-18,44.76,44.7989,44.54,44.76,44.76,207949
2017-05-19,44.75,44.95,44.72,44.89,44.89,76076
2017-05-22,44.85,45.3139,44.85,45.27,45.27,61216
2017-05-23,45.4,45.47,45.3693,45.44,45.44,21617
2017-05-24,45.43,45.48,45.2933,45.43,45.43,30435
2017-05-25,45.66,45.75,45.54,45.75,45.75,12569
2017-05-26,45.75,45.81,45.69,45.76,45.76,30523
2017-05-30,45.69,45.8,45.59,45.745,45.745,57288
2017-05-31,45.84,45.93,45.75,45.81,45.81,74731
2017-06-01,45.86,46.06,45.86,46.02,46.02,51745
2017-06-02,46.45,46.45,46.24,46.36,46.36,20805
2017-06-05,46.32,46.3817,46.3,46.34,46.34,20069
2017-06-06,46.33,46.37,46.21,46.27,46.27,35657
2017-06-07,46.23,46.27,46.18,46.25,46.25,16519
2017-06-08,46.39,46.39,46.13,46.13,46.13,38648
2017-06-09,46.1,46.19,46.03,46.17,46.17,31921
2017-06-12,46.11,46.18,45.98,46.14,46.14,31006
2017-06-13,46.33,46.37,46.21,46.35,46.35,47705
2017-06-14,46.42,46.55,46.42,46.55,46.55,11786
2017-06-15,46.36,46.38,46.25,46.36,46.36,11058
2017-06-16,46.51,46.5595,46.13,46.2,46.2,195675
2017-06-19,46.4046,46.4046,46.38,46.4046,46.4046,35739
2017-06-20,46.47,46.49,46.24,46.245,46.245,63968
2017-06-21,46.19,46.23,46.04,46.04,46.04,33917
2017-06-22,46.04,46.04,45.85,46.015,46.015,55278
2017-06-23,46.08,46.12,45.97,46.12,46.12,4880
2017-06-26,46.13,46.51,46.13,46.23,46.23,159072
2017-06-27,46.13,46.26,46.13,46.215,46.215,39137
2017-06-28,45.94,46.19,45.87,46.11,46.11,50050
2017-06-29,46.15,46.17,45.72,45.78,45.78,92957
2017-06-30,45.64,45.88,45.6,45.76,45.76,51138
2017-07-03,45.81,45.97,45.79,45.925,45.925,57188
2017-07-04,45.79,45.91,45.78,45.845,45.845,13290
2017-07-05,45.83,45.83,45.67,45.75,45.75,34564
2017-07-06,45.67,45.68,45.31,45.35,45.35,25333
2017-07-07,45.33,45.51,45.26,45.51,45.51,18181
2017-07-10,45.63,45.63,45.31,45.49,45.49,124520
2017-07-11,45.47,45.47,45.29,45.29,45.29,10692
2017-07-12,45.33,45.7,45.25,45.635,45.635,59865
