Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,123.46,123.55,122.86,123.09,111.0261,8015015
2017-04-18,123.86,124.98,123.55,124.7,112.4784,11529700
2017-04-19,124.1,124.169,123.7,124.02,111.865,7343991
2017-04-20,123.73,123.92,123.135,123.54,111.432,7932918
2017-04-21,123.82,124.24,123.49,123.54,111.432,9798520
2017-04-24,122.55,123.16,122.46,122.93,110.8818,8066371
2017-04-25,122.21,122.46,121.38,121.45,109.5469,8122253
2017-04-26,121.52,122.14,121.43,122.12,110.1512,5766213
2017-04-27,121.75,122.35,121.58,122.08,110.1151,4978328
2017-04-28,121.6,122.435,121.55,122.35,110.3587,8166295
2017-05-01,121.69,122.14,120.71,121.08,109.4411,8795929
2017-05-02,120.97,121.78,120.94,121.7,110.0015,6727813
2017-05-03,122.22,122.39,121.55,121.78,110.0738,8932912
2017-05-04,121.01,121.22,120.665,121.18,109.5315,9707211
2017-05-05,121.38,121.47,120.89,121.29,109.6309,5605412
2017-05-08,121.11,121.14,120.53,120.63,109.0343,8057780
2017-05-09,120.38,120.63,120.14,120.62,109.0253,5536746
2017-05-10,120.91,121.06,120.16,120.48,108.8987,6517131
2017-05-11,120.0,120.57,119.91,120.48,108.8987,7479834
2017-05-12,121.01,121.49,120.98,121.39,109.7213,7464184
2017-05-15,121.06,121.21,120.75,121.06,109.423,5173188
2017-05-16,121.11,121.89,121.105,121.51,109.8297,6722728
2017-05-17,122.63,123.54,122.385,123.28,111.4296,11236440
2017-05-18,123.75,123.94,123.19,123.42,111.5561,8350484
2017-05-19,123.36,123.775,123.01,123.71,111.8183,11277440
2017-05-22,123.41,123.56,123.26,123.37,111.5109,4063071
2017-05-23,123.51,123.62,122.48,122.54,110.7607,7901311
2017-05-24,122.8,123.26,122.54,123.23,111.3844,7468346
2017-05-25,123.02,123.28,122.76,123.27,111.4206,6464812
2017-05-26,123.55,123.74,123.25,123.48,111.6104,2963919
2017-05-30,124.03,124.14,123.74,124.09,112.1617,4819358
2017-05-31,124.05,124.645,124.03,124.4,112.4419,8000164
2017-06-01,123.7,124.19,123.66,124.15,112.4537,9037271
2017-06-02,125.22,125.7675,125.05,125.62,113.7852,13245040
2017-06-05,124.9,125.16,124.78,124.84,113.0787,6775466
2017-06-06,125.69,125.87,125.4,125.52,113.6946,12841470
2017-06-07,125.24,125.52,124.79,124.92,113.1512,12852350
2017-06-08,124.88,124.88,124.3,124.59,112.8522,8758621
2017-06-09,124.08,124.64,123.98,124.4,112.6801,5130548
2017-06-12,124.21,124.99,124.139,124.36,112.6439,4335780
2017-06-13,124.01,124.52,123.99,124.38,112.662,4742571
2017-06-14,125.92,126.71,125.73,126.3,114.4011,20212289
2017-06-15,126.09,126.33,125.83,126.1,114.22,5863708
2017-06-16,126.08,126.44,126.01,126.35,114.4464,6672543
2017-06-19,126.32,126.475,126.03,126.17,114.2834,5641338
2017-06-20,126.79,127.4,126.79,127.3,115.3069,8405680
2017-06-21,127.11,127.645,126.9,127.56,115.5424,5914825
2017-06-22,127.71,127.87,127.31,127.84,115.7961,6608055
2017-06-23,127.47,127.9,127.4,127.78,115.7417,4329910
2017-06-26,128.27,128.57,128.16,128.26,116.1765,5541628
2017-06-27,127.43,127.49,126.62,126.89,114.9356,8354227
2017-06-28,126.67,126.71,125.98,126.47,114.5551,7357931
2017-06-29,125.01,125.72,124.9,125.41,113.595,9116011
2017-06-30,125.19,125.39,124.85,125.12,113.3323,10189810
2017-07-03,125.0,125.04,124.02,124.46,112.9671,11021120
2017-07-05,124.2,124.65,124.115,124.49,112.9943,11394540
2017-07-06,123.52,123.64,122.93,123.46,112.0594,10853050
2017-07-07,122.84,123.03,122.585,122.72,111.3878,9401813
2017-07-10,122.87,123.1,122.68,122.9,111.5512,3859189
2017-07-11,122.86,123.33,122.71,123.11,111.7418,4425579
2017-07-12,123.89,124.04,123.49,123.96,112.5133,7839923
2017-07-13,123.6,123.65,122.81,123.18,111.8053,7449253
2017-07-14,124.1,124.16,123.12,123.33,111.9415,6566826
2017-07-17,123.33,123.99,123.27,123.67,112.2501,4737647
2017-07-18,124.43,124.77,124.23,124.75,113.2303,9163037
2017-07-19,124.78,125.01,124.59,124.8,113.2757,5140862
