Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,164.99,167.42,164.96,167.18,155.1489,4396665
2017-04-18,170.06,170.23,167.7,168.59,156.4574,5526173
2017-04-19,169.59,171.19,168.6901,169.25,157.0699,4703352
2017-04-20,169.52,172.19,168.37,171.54,159.1951,3652173
2017-04-21,172.13,172.62,170.47,171.16,158.8425,2982272
2017-04-24,172.66,173.16,171.7,172.33,159.9283,2830275
2017-04-25,173.5,174.74,173.19,174.04,161.5152,3394671
2017-04-26,174.09,175.65,173.98,174.38,161.8308,2817457
2017-04-27,174.07,176.07,174.0167,174.63,162.0628,2438613
2017-04-28,174.61,175.0,173.91,174.88,162.2948,2010757
2017-05-01,175.0,176.14,174.09,174.59,162.0256,2709907
2017-05-02,174.91,175.3684,170.2735,174.14,161.608,4951025
2017-05-03,173.75,174.3,171.86,172.54,160.1232,3622309
2017-05-04,173.05,174.21,172.38,174.02,161.4967,2585202
2017-05-05,174.54,174.88,173.31,174.12,161.5895,2188959
2017-05-08,173.93,174.56,173.5671,174.44,161.8864,2506098
2017-05-09,174.1,174.77,172.73,173.24,160.7728,1653715
2017-05-10,173.04,173.64,172.461,173.39,160.912,1568799
2017-05-11,172.76,173.856,171.67,173.32,160.847,1901252
2017-05-12,172.64,173.39,171.52,171.81,159.4457,2335410
2017-05-15,171.79,172.0,170.23,171.53,159.1859,2831366
2017-05-16,170.67,171.0,167.25,168.12,156.0213,4343720
2017-05-17,166.96,170.39,166.65,168.86,156.708,4442292
2017-05-18,168.25,173.98,167.87,171.45,159.1116,3908022
2017-05-19,172.3,172.95,170.25,172.59,160.1696,3877349
2017-05-22,172.73,174.9,172.6,174.7,162.1277,3480347
2017-05-23,174.44,175.52,173.71,175.22,162.6103,2471685
2017-05-24,175.45,176.1,174.52,175.59,162.9537,1653699
2017-05-25,176.32,178.73,175.9396,178.05,165.2366,3212199
2017-05-26,177.68,178.89,177.0,177.5,164.7262,1583631
2017-05-30,177.54,178.08,176.24,176.59,163.8817,2285677
2017-05-31,176.89,176.9,174.92,175.18,162.5732,3320408
2017-06-01,175.78,179.58,175.19,179.58,166.6565,2890588
2017-06-02,179.92,179.92,178.34,179.39,166.4802,2610140
2017-06-05,179.53,180.3207,179.16,179.37,166.4616,2640609
2017-06-06,179.19,181.06,178.48,180.82,167.8073,3443854
2017-06-07,182.0,183.47,179.65,183.21,170.0253,3783753
2017-06-08,183.34,183.76,180.98,181.69,168.6147,3079934
2017-06-09,181.84,182.4,180.8595,181.46,168.4012,2392652
2017-06-12,181.01,181.82,176.42,179.25,166.3503,3705616
2017-06-13,179.21,181.39,179.145,181.05,168.0207,2458473
2017-06-14,180.94,182.84,180.94,182.36,169.2365,2039889
2017-06-15,181.75,183.5,180.09,180.38,168.0903,3078699
2017-06-16,180.83,182.46,180.38,181.63,169.2551,4473267
2017-06-19,182.3,183.02,180.76,183.02,170.5504,3887064
2017-06-20,182.75,183.42,182.2151,183.27,170.7834,2742596
2017-06-21,183.49,185.11,182.71,184.92,172.321,2866278
2017-06-22,184.9,188.66,184.78,186.5,173.7933,3841326
2017-06-23,186.27,186.27,184.1353,185.25,172.6285,3438489
2017-06-26,185.13,185.89,183.39,185.12,172.5073,2327524
2017-06-27,185.72,186.8,184.22,184.6,172.0228,2682752
2017-06-28,185.68,186.31,185.0901,185.7,173.0478,2451211
2017-06-29,185.82,186.09,184.33,185.27,172.6471,2193573
2017-06-30,185.15,186.19,184.93,185.42,172.7869,2391965
2017-07-03,186.29,187.53,185.74,186.65,173.9331,2087013
2017-07-05,186.14,188.36,185.72,188.25,175.4241,2587433
2017-07-06,188.12,188.185,186.15,186.94,174.2033,1844743
2017-07-07,187.35,188.43,187.01,187.96,175.1538,2252496
2017-07-10,187.33,188.0,186.15,186.95,174.2126,2611955
2017-07-11,187.0,187.66,185.09,185.95,173.2808,2664472
2017-07-12,186.79,187.3,186.41,186.69,173.9704,3342837
2017-07-13,187.0,187.28,185.32,185.48,172.8428,2379349
2017-07-14,185.81,187.13,184.77,186.9,174.1661,2716727
2017-07-17,187.07,187.245,185.76,186.35,173.6535,2444621
2017-07-18,186.95,187.2,183.86,186.85,174.1195,4235849
2017-07-19,187.51,189.41,187.51,189.19,176.3,3401646
2017-07-20,189.41,191.92,188.92,191.5,178.4526,3099616
2017-07-21,191.38,193.0,190.6001,191.78,178.7136,4911549
2017-07-24,191.79,192.17,190.64,190.89,177.8842,2356497
2017-07-25,192.13,192.48,190.3,190.4,177.4276,1960052
2017-07-26,190.02,191.53,189.38,190.75,177.7537,2683468
2017-07-27,190.24,190.49,188.46,188.93,176.0577,2631353
2017-07-28,189.11,191.244,187.6,191.15,178.1265,1925049
2017-07-31,191.59,192.61,191.14,191.81,178.7415,3776476
2017-08-01,193.4,193.4,191.6201,192.23,179.1329,3336771
