Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,89.09,89.9,88.75,89.81,86.9754,6122795
2017-04-18,89.64,89.92,89.24,89.73,86.8979,6823460
2017-04-19,90.09,90.62,89.6,89.75,86.9173,7301338
2017-04-20,90.14,91.5,89.9047,91.15,88.2731,12178320
2017-04-21,92.77,92.8,91.02,91.15,88.2731,19442580
2017-04-24,92.15,92.5,91.01,91.85,88.951,11705370
2017-04-25,91.99,92.35,91.58,92.11,89.2028,7769203
2017-04-26,92.02,92.48,91.75,91.82,88.922,11295240
2017-04-27,91.95,92.0,91.28,91.6,88.7089,5856781
2017-04-28,91.39,91.55,90.98,91.22,88.3409,6888471
2017-05-01,91.29,91.67,91.14,91.26,88.3796,9042079
2017-05-02,91.62,92.75,91.53,92.54,89.6192,11627710
2017-05-03,92.4,92.545,91.975,92.44,89.5224,4908954
2017-05-04,92.7,92.85,92.25,92.62,89.6967,5257030
2017-05-05,92.9,92.98,91.76,92.09,89.1834,8844524
2017-05-08,92.05,92.16,91.52,91.92,89.0188,5223617
2017-05-09,91.9,92.14,91.8343,92.0,89.0963,3969471
2017-05-10,91.7,92.41,91.68,92.25,89.3384,6747589
2017-05-11,92.12,92.31,91.62,92.1,89.1931,7052203
2017-05-12,92.19,92.78,91.98,92.73,89.8032,5898827
2017-05-15,92.73,93.4199,92.72,93.23,90.2875,7040087
2017-05-16,93.35,93.7249,92.97,93.15,90.21,5497361
2017-05-17,92.48,92.76,91.71,91.76,89.0215,8240166
2017-05-18,91.36,92.48,91.36,91.71,88.973,8239825
2017-05-19,91.98,92.81,91.71,92.48,89.7201,9361292
2017-05-22,92.53,93.6,92.43,93.31,90.5253,9186208
2017-05-23,93.56,94.07,93.47,93.86,91.0589,7616088
2017-05-24,94.02,94.99,94.02,94.81,91.9805,6916568
2017-05-25,95.09,95.38,94.89,95.04,92.2037,7262356
2017-05-26,95.0,95.12,94.39,94.67,91.8447,4133942
2017-05-30,94.66,94.88,94.34,94.72,91.8932,6292726
2017-05-31,95.08,95.53,94.46,95.23,92.388,9865986
2017-06-01,95.4,95.45,94.61,95.4,92.5529,8911894
2017-06-02,95.41,96.19,95.41,96.15,93.2805,8570164
2017-06-05,96.32,96.59,96.11,96.55,93.6686,14510540
2017-06-06,96.27,96.6,95.56,95.79,92.9313,7030305
2017-06-07,96.03,96.22,95.76,96.09,93.2223,6720346
2017-06-08,95.87,96.12,95.29,96.09,93.2223,7720313
2017-06-09,96.09,96.249,93.71,94.56,91.738,16887080
2017-06-12,93.69,94.04,92.8,93.5,90.7096,15609980
