Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,79.48,80.08,79.48,80.07,78.4024,592954
2017-04-18,79.71,80.8,79.71,80.63,78.9507,527933
2017-04-19,80.98,81.27,80.55,80.77,79.0878,611466
2017-04-20,81.1,81.62,81.01,81.37,79.6753,647004
2017-04-21,81.44,81.9,81.31,81.65,79.9495,460805
2017-04-24,82.42,82.81,82.14,82.66,80.9385,615620
2017-04-25,82.87,83.29,82.5775,82.97,81.242,549978
2017-04-26,82.86,83.69,82.84,83.18,81.4476,779191
2017-04-27,83.23,83.68,82.88,83.15,81.4183,597066
2017-04-28,83.15,83.15,82.55,82.81,81.0853,754313
2017-05-01,83.0,83.3955,82.44,82.77,81.0462,1193824
2017-05-02,82.87,83.28,82.06,82.18,80.4685,1195712
2017-05-03,76.55,79.01,76.5,76.75,75.1516,4077505
2017-05-04,76.69,78.43,75.6,78.01,76.3853,2582126
2017-05-05,78.81,79.77,78.445,79.76,78.0989,1329700
2017-05-08,79.77,80.065,79.13,79.3,77.6484,1141567
2017-05-09,79.04,79.5,79.04,79.26,77.6093,878820
2017-05-10,79.06,79.24,78.43,78.7,77.0609,1008172
2017-05-11,78.34,78.64,77.72,78.28,76.6497,712593
2017-05-12,78.15,78.52,77.92,78.1,76.4734,782943
2017-05-15,78.15,79.04,78.15,78.97,77.3253,1103933
2017-05-16,79.0,79.12,78.59,78.82,77.1784,804636
2017-05-17,78.48,79.01,78.41,78.5,76.8651,1563994
2017-05-18,78.63,79.215,78.22,78.52,76.8847,912440
2017-05-19,78.63,79.57,78.29,79.41,77.7562,1108170
2017-05-22,79.39,79.94,79.34,79.91,78.2457,660336
2017-05-23,80.0,80.02,79.34,79.52,77.8639,750747
2017-05-24,79.77,80.44,79.69,80.41,78.7353,988641
2017-05-25,80.58,81.61,80.39,81.18,79.4893,1025144
2017-05-26,81.2,81.52,80.52,80.55,78.8724,815426
2017-05-30,80.21,81.24,80.085,81.05,79.362,765461
2017-05-31,81.26,81.44,80.38,80.89,79.2053,818033
2017-06-01,81.05,81.5,80.82,81.17,79.4795,984984
2017-06-02,81.42,81.89,80.9,81.86,80.1551,895322
2017-06-05,81.83,82.21,81.45,81.47,79.7733,904694
2017-06-06,81.21,81.4597,80.545,80.67,78.9899,521363
2017-06-07,81.05,81.065,80.03,80.74,79.0585,629170
2017-06-08,80.58,80.89,80.07,80.38,78.706,528133
2017-06-09,80.39,80.51,79.89,80.07,78.4024,521868
2017-06-12,79.86,81.54,79.86,81.5,79.8026,778445
2017-06-13,81.42,82.6,81.42,82.42,80.7035,962396
2017-06-14,82.57,83.02,82.44,82.97,81.242,800010
2017-06-15,82.61,83.62,82.61,83.25,81.5162,989034
2017-06-16,82.9,83.42,82.28,83.14,81.4085,1427415
2017-06-19,83.35,83.91,83.12,83.78,82.0351,657099
2017-06-20,83.47,83.92,83.24,83.91,82.1624,828090
2017-06-21,83.91,84.18,83.545,84.06,82.3093,1112134
2017-06-22,84.11,84.12,83.01,83.03,81.3008,951716
2017-06-23,83.09,83.09,82.1441,82.36,80.6447,1870915
2017-06-26,82.68,83.55,82.62,83.18,81.4476,778294
2017-06-27,83.02,83.15,82.3,82.82,81.0951,903436
2017-06-28,83.03,84.0,82.68,83.96,82.2114,741460
2017-06-29,83.82,83.8567,82.99,83.36,81.6239,1062417
2017-06-30,83.91,84.68,83.54,84.37,82.6129,982137
2017-07-03,84.87,84.96,84.15,84.17,82.417,507213
2017-07-05,84.22,84.54,83.92,84.29,82.5345,781014
2017-07-06,83.74,83.855,83.375,83.48,81.7414,830306
2017-07-07,83.48,83.86,83.38,83.65,81.9079,1077724
2017-07-10,83.63,83.69,83.325,83.45,81.712,769602
2017-07-11,83.48,83.51,82.94,83.48,81.7414,494821
2017-07-12,84.01,84.62,83.965,84.55,82.7891,601911
2017-07-13,84.4,84.5538,83.56,84.4,82.6422,508479
2017-07-14,84.76,85.53,84.69,85.44,83.6606,851998
2017-07-17,85.45,85.75,85.07,85.24,83.4647,912542
2017-07-18,85.07,85.94,84.73,85.87,84.0816,864683
2017-07-19,85.86,86.01,84.96,85.99,84.1991,674547
2017-07-20,86.05,86.35,85.0,86.27,84.4733,410183
2017-07-21,86.14,86.96,86.1365,86.51,84.7083,881499
2017-07-24,86.48,87.21,85.95,87.11,85.2958,864392
2017-07-25,87.3,87.42,86.66,86.88,85.0706,590335
2017-07-26,86.97,87.18,86.77,87.06,85.2468,404134
2017-07-27,87.03,87.47,86.58,87.15,85.335,721683
2017-07-28,87.06,87.62,86.77,87.32,85.5014,510354
2017-07-31,87.32,88.0,87.0,87.26,85.4427,739626
2017-08-01,85.475,88.17,85.475,87.17,85.3545,1081633
2017-08-02,85.43,85.43,82.55,83.84,82.0939,2072360
2017-08-03,83.45,83.7441,82.12,82.31,80.5958,1470351
2017-08-04,82.56,82.98,82.0301,82.88,81.1539,1043056
2017-08-07,82.99,83.24,82.15,82.52,80.8014,749878
2017-08-08,82.33,82.75,81.86,81.89,80.1845,597378
2017-08-09,81.91,82.03,81.41,81.53,79.832,722311
2017-08-10,81.23,81.41,80.56,80.58,78.9018,788552
2017-08-11,80.96,81.2,80.59,80.62,78.941,551070
2017-08-14,81.15,81.7,80.94,81.44,79.7439,504812
2017-08-15,81.48,81.67,81.2,81.4,79.7047,552512
2017-08-16,81.61,81.89,81.275,81.65,79.9495,559507
2017-08-17,81.51,81.9,80.82,80.9,79.2151,1111368
2017-08-18,80.39,80.96,80.12,80.65,78.9703,851006
2017-08-21,80.8,81.3,80.431,81.07,79.3816,535917
2017-08-22,81.21,82.36,81.06,82.05,80.3412,633515
2017-08-23,81.87,81.87,81.18,81.21,79.5187,603061
2017-08-24,81.3,81.3,79.87,80.26,78.5885,717297
2017-08-25,80.75,80.75,79.59,79.67,78.0107,994589
2017-08-28,80.0,80.15,79.08,79.23,77.5799,652977
2017-08-29,79.29,79.61,78.97,79.52,77.8639,813138
2017-08-30,79.62,80.35,79.2,80.16,78.4905,957638
2017-08-31,80.25,81.19,80.16,81.05,79.362,660407
2017-09-01,81.38,81.38,80.81,80.98,79.2935,631326
2017-09-05,80.82,81.24,80.42,80.62,78.941,1056090
2017-09-06,80.72,81.18,80.59,81.06,79.3718,767721
2017-09-07,81.16,82.35,81.16,82.0,80.2922,893363
2017-09-08,81.73,82.8,80.89,82.48,80.7622,665388
2017-09-11,82.92,82.93,81.87,82.03,80.3216,796285
2017-09-12,82.02,83.0,81.5,82.9,81.1735,628125
2017-09-13,82.64,82.65,81.33,81.45,79.7537,557396
2017-09-14,81.25,81.4879,80.32,80.69,79.0095,817281
2017-09-15,80.72,81.4,80.53,81.03,79.3424,1191693
2017-09-18,81.1,81.81,80.915,81.77,80.067,621041
2017-09-19,81.81,81.81,81.38,81.71,80.0083,390303
2017-09-20,81.7,82.49,81.45,82.09,80.3803,571118
2017-09-21,82.01,82.32,81.7,81.95,80.2433,463938
2017-09-22,81.58,82.38,81.58,82.31,80.5958,393588
2017-09-25,82.21,82.4,81.8202,82.03,80.3216,595946
2017-09-26,82.5,82.5,81.7,81.9,80.1943,1049422
2017-09-27,82.03,82.26,81.69,81.98,80.2726,737759
2017-09-28,81.58,82.435,81.49,82.4,80.6839,863988
2017-09-29,82.28,83.84,82.27,83.19,81.4574,922175
2017-10-02,83.4,84.09,83.01,83.52,81.7806,794924
2017-10-03,83.57,84.05,83.1,83.75,82.0058,548731
2017-10-04,83.74,84.0,83.11,83.87,82.1233,462929
2017-10-05,83.88,84.01,83.58,83.8,82.0547,495008
2017-10-06,83.64,83.875,83.21,83.5,81.761,493867
2017-10-09,83.36,83.68,83.03,83.33,81.5945,493474
2017-10-10,83.37,83.86,83.33,83.74,81.996,401170
2017-10-11,83.72,83.97,83.161,83.36,81.6239,529970
2017-10-12,83.39,83.99,83.21,83.82,82.0743,640233
2017-10-13,84.27,84.6,83.91,84.0,82.2506,474000
2017-10-16,83.96,84.26,83.74,84.07,82.3191,378971
2017-10-17,84.01,84.44,83.82,84.31,82.5541,441423
2017-10-18,84.26,84.9,84.26,84.8,83.0339,428509
2017-10-19,84.8,84.92,84.12,84.91,83.1416,514808
2017-10-20,85.0,85.37,84.76,84.85,83.0829,749091
2017-10-23,84.88,85.07,84.355,84.77,83.0045,634146
2017-10-24,84.73,85.15,84.365,84.88,83.1122,532448
2017-10-25,84.53,84.93,83.96,84.2,82.4464,540561
2017-10-26,84.48,85.16,84.29,84.83,83.0633,777153
2017-10-27,84.53,85.35,84.365,84.94,83.171,1169517
2017-10-30,84.92,85.16,84.4,84.7,82.936,778969
2017-10-31,84.81,85.42,84.66,85.05,83.2787,1240607
2017-11-01,86.0,91.34,86.0,89.88,88.0081,2413471
2017-11-02,90.3,91.31,89.93,91.02,89.1244,1598461
2017-11-03,91.08,91.41,90.15,91.03,89.1342,877081
2017-11-06,90.94,91.73,90.31,91.1,89.2027,797588
2017-11-07,91.8,92.92,91.7,92.29,90.3679,924526
2017-11-08,92.14,92.86,91.85,92.57,90.6421,980810
2017-11-09,92.16,92.78,90.67,90.82,88.9285,751524
2017-11-10,90.72,90.72,89.95,90.21,88.3312,889566
2017-11-13,90.03,90.43,89.65,90.12,88.2431,888923
2017-11-14,89.99,91.59,89.97,91.11,89.2125,1044141
2017-11-15,91.1,91.32,90.39,90.83,88.9383,613194
2017-11-16,91.13,91.41,90.63,90.82,88.9285,1090202
2017-11-17,90.88,92.21,90.68,91.86,89.9469,1884464
2017-11-20,91.74,92.56,91.62,92.53,90.6029,1030785
2017-11-21,92.72,94.1,92.65,93.58,91.631,1269506
2017-11-22,93.52,94.26,93.21,93.82,91.866,946686
2017-11-24,93.8,94.13,93.52,93.88,91.9248,223848
2017-11-27,93.88,94.51,93.87,94.22,92.2577,685196
2017-11-28,94.41,95.25,94.13,95.23,93.2467,759517
2017-11-29,95.29,95.92,94.81,94.98,93.0019,681700
2017-11-30,95.19,96.915,94.84,96.42,94.4119,904502
2017-12-01,98.05,98.6,94.18,95.64,93.6481,957707
2017-12-04,95.82,96.71,95.79,96.01,94.0104,877075
2017-12-05,96.34,96.65,95.88,95.94,93.9419,838348
2017-12-06,96.08,96.35,95.62,95.87,93.8734,605505
