Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,49.57,50.205,49.51,50.15,42.8963,1260889
2017-04-18,49.86,51.12,49.86,50.63,43.3069,2180740
2017-04-19,51.83,53.14,51.76,52.9,45.2486,3405410
2017-04-20,53.39,53.66,52.99,53.08,45.4026,1736401
2017-04-21,53.05,53.48,52.78,53.02,45.3512,1619962
2017-04-24,53.71,54.37,53.67,54.02,46.2066,2196669
2017-04-25,54.28,54.95,53.93,54.36,46.4974,2015831
2017-04-26,55.48,56.32,53.51,53.65,45.8901,2371674
2017-04-27,53.52,54.4,53.245,54.29,46.4375,1879437
2017-04-28,54.39,54.39,53.37,53.56,45.8131,1754566
2017-05-01,53.7,54.47,53.3,54.11,46.2836,1262099
2017-05-02,54.11,54.36,53.68,54.19,46.352,1129754
2017-05-03,53.81,54.11,53.55,53.99,46.5244,1188293
2017-05-04,54.25,54.52,53.61,54.11,46.6278,1263566
2017-05-05,54.53,55.13,54.2369,55.02,47.4119,1123654
2017-05-08,54.85,55.14,54.5,54.61,47.0586,809536
2017-05-09,54.25,54.802,53.36,53.41,46.0246,1292370
2017-05-10,53.42,54.12,53.38,54.11,46.6278,1247329
2017-05-11,54.11,54.32,53.43,54.28,46.7743,905659
2017-05-12,53.92,54.28,53.23,53.68,46.2572,1303926
2017-05-15,54.01,54.47,53.83,54.0,46.533,1240880
2017-05-16,54.17,54.17,53.34,53.79,46.352,1118307
2017-05-17,52.98,53.14,52.08,52.14,44.9302,1300820
2017-05-18,51.87,52.13,51.22,51.59,44.4562,2447082
2017-05-19,51.67,52.37,51.61,51.99,44.8009,1520481
2017-05-22,52.09,52.58,51.95,52.31,45.0767,1336563
2017-05-23,52.44,52.83,52.19,52.7,45.4127,1020858
2017-05-24,52.81,54.35,52.76,54.31,46.8001,1620606
2017-05-25,54.55,55.4,54.47,55.29,47.6446,1986870
2017-05-26,55.26,55.37,54.965,55.15,47.5239,1423784
2017-05-30,54.9,55.38,54.765,55.05,47.4378,1198642
2017-05-31,55.1,55.13,54.05,54.42,46.8949,1925699
2017-06-01,54.4,55.4,54.4,55.27,47.6274,1144475
2017-06-02,55.15,55.22,54.79,55.1,47.4809,1035550
2017-06-05,55.27,55.27,54.59,54.65,47.0931,1221128
2017-06-06,54.18,54.5099,53.97,54.12,46.6364,963995
2017-06-07,54.66,56.0,54.21,55.74,48.0324,2089884
2017-06-08,55.67,55.82,55.23,55.46,47.7911,1389706
2017-06-09,55.78,57.8,55.6,57.3,49.3767,1920520
2017-06-12,57.09,57.86,56.94,57.27,49.3508,2272953
2017-06-13,57.43,57.79,57.085,57.48,49.5318,1100397
2017-06-14,57.2,57.5,56.35,56.8,48.9458,936031
2017-06-15,56.8,57.8,56.37,57.36,49.4284,1346972
2017-06-16,57.06,57.5,56.84,57.49,49.5404,1540718
2017-06-19,58.07,58.62,57.47,57.95,49.9368,1373048
2017-06-20,57.64,57.95,57.18,57.24,49.3249,1159702
2017-06-21,57.45,57.45,56.64,56.98,49.1009,1073968
2017-06-22,57.31,57.31,56.36,56.85,48.9889,868236
2017-06-23,56.97,57.74,56.97,57.31,49.3853,1575807
2017-06-26,57.25,57.416,56.8354,57.03,49.144,1329706
2017-06-27,57.1,57.2,56.63,56.72,48.8769,1187166
2017-06-28,57.26,57.3,56.36,56.69,48.851,1405458
2017-06-29,56.57,56.945,55.72,56.31,48.5235,1306880
2017-06-30,56.69,56.96,56.32,56.66,48.8251,1442522
2017-07-03,57.1,57.35,56.69,57.12,49.2215,368853
2017-07-05,57.21,57.53,56.985,57.12,49.2215,794958
2017-07-06,56.64,57.1,56.37,56.41,48.6097,806713
2017-07-07,56.67,57.5,56.56,57.31,49.3853,1201041
2017-07-10,57.18,58.62,57.18,58.29,50.2298,1408318
2017-07-11,58.05,58.66,57.71,57.87,49.8678,1178845
2017-07-12,58.38,59.0,58.18,58.63,50.5227,1232996
2017-07-13,59.17,60.36,59.1,59.69,51.4362,1640825
2017-07-14,59.77,60.01,59.27,59.65,51.4017,1890948
2017-07-17,59.45,59.83,59.06,59.73,51.4706,1252871
2017-07-18,59.73,59.73,58.76,59.12,50.945,1041678
2017-07-19,59.26,59.72,59.16,59.5,51.2724,804296
2017-07-20,59.36,59.7,58.47,58.91,50.764,860365
2017-07-21,58.61,59.06,58.44,58.7,50.5831,857270
2017-07-24,58.65,59.01,58.43,58.62,50.5141,1005181
2017-07-25,58.97,59.2599,58.56,58.83,50.6951,686767
