Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,51.45,51.7,51.35,51.68,46.8123,3850971
2017-04-18,51.45,51.78,51.39,51.62,46.758,2536904
2017-04-19,51.8,51.95,51.5999,51.69,46.8214,3130224
2017-04-20,51.92,52.47,51.88,52.26,47.3377,4069392
2017-04-21,52.22,52.335,52.055,52.2,47.2834,3591645
2017-04-24,52.77,52.94,52.68,52.8,47.8268,5566796
2017-04-25,53.26,53.72,53.23,53.65,48.5968,7942257
2017-04-26,53.57,53.82,53.44,53.64,48.5877,3166945
2017-04-27,53.57,53.68,53.17,53.52,48.479,4604985
2017-04-28,53.41,53.57,53.07,53.07,48.0714,4040002
2017-05-01,53.32,53.32,52.95,53.1,48.0986,3974782
2017-05-02,53.12,53.27,52.95,53.19,48.1801,3465819
2017-05-03,52.97,53.09,52.515,52.67,47.7091,6598859
2017-05-04,52.82,52.86,52.56,52.73,47.7634,3743801
2017-05-05,52.83,53.52,52.83,53.48,48.4428,5723720
2017-05-08,53.36,53.43,52.94,53.05,48.0533,5108129
2017-05-09,53.0,53.1,52.58,52.65,47.691,4693230
2017-05-10,52.73,52.89,52.6,52.82,47.845,3194017
2017-05-11,52.68,52.86,52.26,52.74,47.7725,3340290
2017-05-12,52.7,52.77,52.57,52.61,47.6547,2359174
2017-05-15,52.77,53.23,52.77,53.07,48.0714,3263078
2017-05-16,53.09,53.21,53.005,53.08,48.0805,3034408
2017-05-17,52.71,52.75,51.95,51.96,47.066,8132436
2017-05-18,51.76,52.12,51.35,51.99,47.0931,6963348
2017-05-19,52.09,52.66,52.08,52.44,47.5008,4989333
2017-05-22,52.62,52.75,52.345,52.5,47.5551,2871593
2017-05-23,52.61,52.735,52.47,52.54,47.5913,3547953
2017-05-24,52.65,53.01,52.64,52.89,47.9084,3149903
2017-05-25,53.08,53.21,52.705,52.83,47.854,4853767
2017-05-26,52.75,52.98,52.69,52.93,47.9446,2120070
2017-05-30,52.85,53.015,52.74,52.92,47.9355,2798812
2017-05-31,52.99,53.09,52.57,53.08,48.0805,6169455
2017-06-01,53.05,53.78,53.04,53.72,48.6602,7904058
2017-06-02,53.7,53.965,53.59,53.85,48.7779,4905434
2017-06-05,53.8,53.91,53.605,53.68,48.624,2829321
2017-06-06,53.53,53.86,53.405,53.71,48.6511,4128611
2017-06-07,53.88,53.97,53.61,53.78,48.7145,4166014
2017-06-08,53.69,54.11,53.68,53.94,48.8595,3576218
2017-06-09,54.06,54.69,54.06,54.63,49.4845,7498298
2017-06-12,54.56,54.86,54.3,54.42,49.2943,5760444
2017-06-13,54.39,55.12,54.39,55.1,49.9102,3362501
2017-06-14,55.18,55.22,54.37,54.52,49.3848,5591171
2017-06-15,54.14,54.34,53.81,54.04,48.9501,4860124
2017-06-16,54.04,54.05,53.72,54.02,49.1616,4575143
2017-06-19,54.29,54.52,54.22,54.45,49.5529,2506414
2017-06-20,54.34,54.34,54.14,54.15,49.2799,3458442
2017-06-21,54.22,54.27,53.51,53.58,48.7611,4761300
2017-06-22,53.58,53.8366,53.54,53.64,48.8157,3352112
2017-06-23,53.77,54.01,53.56,53.85,49.0068,3345351
2017-06-26,54.03,54.1,53.79,54.01,49.1525,4054062
2017-06-27,54.12,54.19,53.66,53.68,48.8521,3613190
2017-06-28,54.07,54.3,53.97,54.17,49.2981,3295991
2017-06-29,54.15,54.24,53.375,53.52,48.7065,4405816
2017-06-30,53.61,54.05,53.6,53.81,48.9704,3129348
2017-07-03,53.94,54.415,53.89,54.28,49.3982,3108488
2017-07-05,54.34,54.36,53.92,54.1,49.2344,5705736
2017-07-06,53.8,54.15,53.7,53.86,49.0159,4929441
2017-07-07,53.95,54.2,53.74,54.14,49.2708,2623391
2017-07-10,54.13,54.695,53.9101,54.48,49.5802,3855861
2017-07-11,54.48,54.54,54.07,54.4,49.5074,2008603
2017-07-12,54.69,55.08,54.6,55.03,50.0807,2901222
2017-07-13,55.08,55.175,54.89,54.97,50.0261,2133388
2017-07-14,55.17,55.36,55.02,55.25,50.2809,3254406
2017-07-17,55.28,55.5,55.16,55.36,50.381,2989834
2017-07-18,55.21,55.22,54.92,55.13,50.1717,2317272
2017-07-19,55.15,55.695,55.15,55.66,50.6541,3423050
2017-07-20,55.53,55.55,55.075,55.25,50.2809,4520545
2017-07-21,55.09,55.2699,55.01,55.26,50.29,2723463
2017-07-24,55.2,55.29,54.975,55.21,50.2445,2761074
2017-07-25,55.69,55.92,55.615,55.8,50.7815,4555217
2017-07-26,55.76,55.76,55.375,55.46,50.472,3811965
2017-07-27,55.52,55.62,55.0,55.26,50.29,3789289
2017-07-28,55.31,55.48,54.85,55.06,50.108,4691189
2017-07-31,55.18,55.245,54.605,54.64,49.7258,4509838
2017-08-01,54.87,54.87,54.41,54.68,49.7622,10532150
2017-08-02,54.52,54.81,54.28,54.73,49.8077,3219458
2017-08-03,54.91,54.91,54.26,54.32,49.4346,3991785
2017-08-04,54.48,54.64,54.45,54.58,49.6712,2636333
2017-08-07,54.66,54.805,54.57,54.61,49.6985,2528128
2017-08-08,54.5,54.55,54.065,54.18,49.3072,4162009
2017-08-09,54.14,54.295,54.05,54.23,49.3527,3454863
2017-08-10,54.03,54.12,53.56,53.61,48.7884,6478822
2017-08-11,53.45,53.68,53.41,53.48,48.6701,3914992
2017-08-14,53.76,54.065,53.76,53.98,49.1251,3579822
2017-08-15,54.02,54.09,53.83,53.99,49.1343,1986510
2017-08-16,54.17,54.52,54.16,54.52,49.6166,5326670
2017-08-17,54.34,54.43,53.68,53.69,48.8612,4452046
2017-08-18,53.5,53.945,53.47,53.71,48.8794,3768660
2017-08-21,53.8,53.905,53.63,53.76,48.9249,2701598
2017-08-22,53.91,54.46,53.91,54.46,49.562,3120377
2017-08-23,54.22,54.535,54.16,54.36,49.471,4109603
2017-08-24,54.35,54.45,54.19,54.26,49.38,2665166
2017-08-25,54.46,54.545,54.315,54.43,49.5347,2914439
2017-08-28,54.63,54.63,54.28,54.51,49.6075,2310809
2017-08-29,54.18,54.32,54.035,54.25,49.3709,3009808
2017-08-30,54.21,54.705,54.055,54.65,49.7349,5141917
2017-08-31,54.9,55.1899,54.85,55.07,50.1171,4640252
2017-09-01,55.26,55.4863,55.125,55.43,50.4447,5283697
2017-09-05,55.48,55.62,54.74,54.8,49.8714,6827968
2017-09-06,54.85,55.015,54.535,54.94,49.9988,6258511
2017-09-07,55.01,55.06,54.68,55.03,50.0807,4442630
2017-09-08,54.99,55.07,54.765,55.01,50.0625,2719220
2017-09-11,55.31,55.875,55.21,55.73,50.7178,5072313
2017-09-12,55.98,56.39,55.97,56.2,51.1455,6643687
2017-09-13,56.21,56.23,55.9,56.18,51.1273,4390288
2017-09-14,56.18,56.455,56.0489,56.37,51.3002,4278758
2017-09-15,56.03,56.17,55.88,56.07,51.3019,4700899
2017-09-18,56.18,56.44,56.08,56.38,51.5856,4425690
2017-09-19,56.56,56.7,56.32,56.67,51.8509,3031963
2017-09-20,56.85,56.985,56.56,56.87,52.0339,4432406
2017-09-21,56.76,56.955,56.74,56.75,51.9241,3172419
2017-09-22,56.65,56.73,56.46,56.55,51.7411,2943561
2017-09-25,56.51,56.65,56.25,56.65,51.8326,5489030
2017-09-26,56.7,56.77,56.38,56.4,51.6039,2745321
2017-09-27,56.47,56.55,55.99,56.4,51.6039,3968619
2017-09-28,56.35,56.81,56.2,56.8,51.9698,4356703
2017-09-29,56.76,56.875,56.53,56.8,51.9698,4144433
2017-10-02,56.73,57.42,56.71,57.42,52.5371,7515940
2017-10-03,57.5,57.685,57.335,57.66,52.7567,3668846
2017-10-04,57.72,57.85,57.64,57.68,52.775,3840511
2017-10-05,57.8,58.03,57.72,58.03,53.0953,3669984
2017-10-06,57.78,57.93,57.67,57.9,52.9763,2631175
2017-10-09,57.96,57.985,57.7,57.89,52.9672,1669516
2017-10-10,58.11,58.11,57.73,57.93,53.0038,2572249
2017-10-11,57.9,57.96,57.66,57.96,53.0312,2016799
2017-10-12,57.84,58.15,57.82,58.07,53.1319,3188107
2017-10-13,58.44,58.5,58.32,58.35,53.388,3357867
2017-10-16,58.61,58.64,58.14,58.31,53.3514,3313103
2017-10-17,58.24,58.28,58.01,58.16,53.2142,2741054
2017-10-18,58.18,58.22,57.97,58.02,53.0861,4439289
2017-10-19,57.9,58.24,57.7,58.24,53.2874,2725386
2017-10-20,58.46,58.74,58.44,58.74,53.7449,4737369
2017-10-23,58.92,59.17,58.6,58.63,53.6442,3146515
2017-10-24,58.78,59.0482,58.74,58.96,53.9462,4225181
2017-10-25,58.96,59.03,58.3901,58.65,53.6625,5658901
2017-10-26,59.15,59.6175,58.93,59.43,54.3762,6992972
2017-10-27,59.38,59.38,58.78,59.12,54.0926,5191108
2017-10-30,59.05,59.17,58.72,58.84,53.8364,5245711
2017-10-31,58.91,59.15,58.89,59.0,53.9828,4005945
2017-11-01,59.3,59.48,59.07,59.29,54.2481,5601046
2017-11-02,59.37,59.37,58.73,58.86,53.8547,12818830
2017-11-03,58.9,58.9048,58.5544,58.83,53.8272,3791017
2017-11-06,58.75,58.995,58.52,58.58,53.5985,3698343
2017-11-07,58.67,58.76,58.46,58.64,53.6534,3625964
2017-11-08,58.73,58.81,58.54,58.7,53.7083,2566659
2017-11-09,58.4,58.495,58.02,58.2,53.2508,4727059
2017-11-10,58.01,58.265,57.985,58.11,53.1684,2850003
2017-11-13,57.89,58.49,57.7,58.41,53.4429,2704230
2017-11-14,58.06,58.12,57.73,57.88,52.958,3686724
2017-11-15,57.53,57.68,57.26,57.53,52.6378,5480646
2017-11-16,57.73,58.3,57.68,58.23,53.2782,3507354
2017-11-17,58.08,58.495,58.03,58.31,53.3514,2825905
2017-11-20,58.26,58.5552,58.18,58.39,53.4246,4159083
2017-11-21,58.72,58.99,58.63,58.7,53.7083,3100151
2017-11-22,58.76,58.78,58.54,58.54,53.5619,2375836
2017-11-24,58.67,58.91,58.64,58.84,53.8364,1223172
2017-11-27,58.87,58.87,58.48,58.49,53.5161,3801194
2017-11-28,58.59,59.17,58.56,59.14,54.1109,4400650
2017-11-29,59.21,59.27,59.02,59.23,54.1932,3869076
2017-11-30,59.36,59.97,59.25,59.56,54.4951,7508643
2017-12-01,59.67,59.75,58.615,59.07,54.0468,8183852
2017-12-04,59.49,60.1662,59.47,59.68,54.6049,6523438
2017-12-05,59.7,59.8,59.36,59.38,54.3305,8226823
2017-12-06,59.27,59.4,59.01,59.03,54.0102,4038694
2017-12-07,58.97,59.44,58.85,59.43,54.3762,3580298
2017-12-08,59.5,59.7,59.295,59.43,54.3762,5135190
2017-12-11,59.59,59.76,59.42,59.51,54.4494,5228742
2017-12-12,59.63,59.71,59.46,59.52,54.4585,6014525
2017-12-13,59.56,59.76,59.535,59.68,54.6049,4181825
2017-12-14,59.83,59.83,58.99,59.02,54.0011,4184542
2017-12-15,58.96,59.25,58.87,59.08,54.3209,5028992
2017-12-18,59.47,60.0,59.43,59.95,55.1208,4871311
2017-12-19,59.99,60.09,59.83,59.88,55.0565,3154826
2017-12-20,60.16,60.19,59.895,59.9,55.0749,4758526
2017-12-21,60.17,60.24,59.88,60.11,55.268,3211897
2017-12-22,60.21,60.39,60.09,60.34,55.4794,3005570
2017-12-26,60.37,60.44,60.25,60.29,55.4335,1659846
2017-12-27,60.4,60.485,60.32,60.37,55.507,4186580
2017-12-28,60.44,60.65,60.305,60.64,55.7553,1565375
2017-12-29,60.87,60.87,60.47,60.53,55.6541,2484820
2018-01-02,60.85,61.41,60.69,61.39,56.4448,8979239
2018-01-03,61.55,61.89,61.41,61.82,56.8402,4952274
2018-01-04,62.08,62.4872,62.05,62.36,57.3367,4120092
2018-01-05,62.63,62.925,62.49,62.86,57.7964,4671998
2018-01-08,62.92,63.01,62.6444,62.95,57.8792,4539115
2018-01-09,63.03,63.32,62.81,62.85,57.7872,4755486
2018-01-10,62.73,62.74,62.34,62.47,57.4378,4220417
2018-01-11,62.72,63.29,62.67,63.29,58.1918,5821321
2018-01-12,63.53,63.57,63.17,63.39,58.2837,4548754
2018-01-16,63.58,63.66,62.26,62.65,57.6033,8512923
2018-01-17,63.1,63.22,62.68,62.94,57.87,10849440
2018-01-18,62.75,63.13,62.53,62.9,57.8332,5893749
2018-01-19,63.19,63.3125,62.93,63.28,58.1826,4933242
2018-01-22,63.19,63.19,62.79,63.13,58.0447,5718967
2018-01-23,63.0,63.17,62.67,63.12,58.0355,4021486
