Date,Open,High,Low,Close,Adjusted_close,Volume
2018-06-19,49.7,50.06,49.58,49.96,48.3384,16588
2018-06-20,50.45,50.889,50.45,50.58,48.9382,189989
2018-06-21,50.77,50.85,50.2,50.27,48.6383,428740
2018-06-22,50.59,50.61,50.19,50.49,48.8512,181638
2018-06-25,50.23,50.23,49.015,49.45,47.8449,2509603
2018-06-26,49.72,49.78,49.35,49.5322,47.9244,104005
2018-06-27,49.82,50.0,49.1,49.1,47.5063,144983
2018-06-28,49.1,49.79,48.97,49.59,47.9804,336481
2018-06-29,49.8,49.84,49.4204,49.53,47.9223,152346
2018-07-02,49.11,49.84,48.94,49.84,48.2223,321297
2018-07-03,50.0,50.0,49.189,49.23,47.6321,97459
2018-07-05,49.59,50.0,49.33,49.9799,48.3576,324879
2018-07-06,50.14,50.8164,49.93,50.77,49.1221,199770
2018-07-09,51.2,51.2,50.65,51.06,49.4027,118112
2018-07-10,51.21,51.21,50.87,51.039,49.3823,1153296
2018-07-11,50.7,51.23,50.65,50.97,49.3156,227517
2018-07-12,51.3,51.77,51.14,51.77,50.0896,361366
2018-07-13,51.78,51.7998,51.4486,51.69,50.0122,80077
2018-07-16,51.78,51.78,51.45,51.54,49.8671,200891
2018-07-17,50.81,51.68,50.72,51.55,49.8767,172559
2018-07-18,51.59,51.6,51.23,51.4,49.7316,147833
2018-07-19,51.43,51.47,51.0062,51.04,49.3833,258442
2018-07-20,51.05,51.186,50.84,50.87,49.2188,158390
2018-07-23,50.93,51.1,50.65,51.08,49.422,94753
2018-07-24,52.11,52.11,51.16,51.44,49.7703,211201
2018-07-25,51.53,51.875,51.38,51.81,50.1283,612027
2018-07-26,49.75,50.02,49.57,49.8562,48.2379,833638
2018-07-27,49.77,49.83,48.638,48.91,47.3224,1111208
2018-07-30,49.02,49.02,47.869,48.14,46.5774,251253
2018-07-31,48.37,48.77,48.14,48.46,46.887,1211405
2018-08-01,48.56,48.779,48.119,48.26,46.6935,1250389
2018-08-02,48.09,48.66,47.9,48.58,47.0031,190710
2018-08-03,48.86,48.93,48.65,48.91,47.3224,117156
2018-08-06,48.91,49.41,48.82,49.4,47.7965,110254
2018-08-07,49.68,49.799,49.42,49.46,47.8546,128846
2018-08-08,49.55,49.6,49.3584,49.42,47.8159,114201
2018-08-09,49.46,49.885,49.46,49.69,48.0771,306361
2018-08-10,49.53,49.53,49.15,49.27,47.6708,177577
2018-08-13,49.33,49.61,49.17,49.2,47.603,261036
2018-08-14,49.44,49.63,49.11,49.55,47.9417,189801
2018-08-15,49.24,49.2999,48.49,48.86,47.2741,555147
2018-08-16,49.19,49.2347,48.76,48.84,47.2547,177579
