Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,69.29,69.5305,69.12,69.46,54.5612,8012191
2017-04-18,69.15,69.61,68.665,68.81,54.0506,14750280
2017-04-19,68.98,69.1099,67.62,67.8,53.2572,18125400
2017-04-20,68.0,68.63,67.93,68.13,53.5165,16235420
2017-04-21,67.84,68.13,67.45,67.79,53.2494,14116060
2017-04-24,68.29,68.47,67.98,68.19,53.5636,13350680
2017-04-25,68.36,68.93,68.15,68.77,54.0192,15590960
2017-04-26,68.45,69.47,68.42,68.54,53.8385,18737580
2017-04-27,68.01,68.08,67.115,67.79,53.2494,20547721
2017-04-28,68.37,68.49,67.735,67.84,53.2887,14425960
2017-05-01,67.82,68.005,67.5,67.65,53.1394,9419426
2017-05-02,67.79,68.01,67.03,67.31,52.8723,16435641
2017-05-03,67.16,67.82,66.97,67.5,53.0216,16934779
2017-05-04,67.03,67.11,65.83,66.26,52.0476,33944539
2017-05-05,66.3,67.42,66.265,67.31,52.8723,18743750
2017-05-08,67.3,67.91,67.24,67.79,53.2494,18948730
2017-05-09,67.93,67.93,67.025,67.23,52.8095,10719710
2017-05-10,67.62,68.44,67.56,68.12,53.5086,18259170
2017-05-11,68.36,68.48,67.88,67.98,53.3986,11968680
2017-05-12,67.93,68.06,67.55,67.75,53.218,10708600
2017-05-15,68.76,68.87,68.06,68.28,53.6343,13206870
2017-05-16,68.6,68.6,67.7,67.94,53.3672,11693390
2017-05-17,67.54,68.1195,67.24,67.27,52.8409,15606750
2017-05-18,66.97,67.585,66.72,67.25,52.8252,14114950
2017-05-19,67.58,68.22,67.42,68.08,53.4772,15624510
2017-05-22,68.44,68.48,67.69,67.93,53.3594,10339250
2017-05-23,68.11,68.18,67.7343,68.09,53.485,9086831
2017-05-24,68.01,68.22,67.42,67.73,53.2023,13591540
2017-05-25,67.56,68.23,66.26,66.5,52.2361,23329250
2017-05-26,66.5,66.67,66.18,66.61,52.3225,13199140
2017-05-30,66.26,66.26,65.69,65.72,51.6234,14529110
2017-05-31,65.2,65.64,65.095,65.44,51.4034,16093030
2017-06-01,65.47,66.09,65.26,65.85,51.7255,17983670
2017-06-02,65.55,65.57,64.81,65.09,51.1285,16542551
2017-06-05,64.89,65.45,64.87,65.21,51.2228,12552470
2017-06-06,65.17,66.09,65.02,65.98,51.8276,14835280
2017-06-07,65.71,66.03,64.6,65.05,51.0971,22942131
2017-06-08,64.74,65.34,64.72,64.86,50.9479,19569340
2017-06-09,65.01,66.64,65.0,66.42,52.1732,23184199
2017-06-12,67.01,67.5539,66.745,66.89,52.5424,22924391
2017-06-13,67.09,67.48,66.77,67.39,52.9352,15807860
2017-06-14,67.21,67.21,65.66,66.17,51.9769,30280221
2017-06-15,65.87,66.2,65.38,65.67,51.5841,19258891
2017-06-16,65.61,66.33,65.19,66.3,52.4376,24621010
2017-06-19,66.15,66.29,65.71,65.88,52.1054,15678380
2017-06-20,65.12,65.22,64.31,65.04,51.4411,16063430
2017-06-21,64.84,65.22,63.64,63.99,50.6106,27305461
2017-06-22,64.02,64.5,63.69,63.95,50.579,15431610
2017-06-23,63.96,64.45,63.78,64.38,50.9191,14555500
2017-06-26,64.58,64.7,63.98,64.24,50.8083,13603360
2017-06-27,64.47,64.76,64.13,64.14,50.7293,14227470
2017-06-28,64.22,64.88,64.18,64.49,51.0061,16859910
2017-06-29,64.68,65.34,64.49,64.63,51.1168,19022430
2017-06-30,65.1,65.22,64.5,64.92,51.3462,19643150
2017-07-03,65.15,66.48,65.08,66.17,52.3348,18402801
2017-07-05,65.84,65.9,64.585,64.83,51.275,20988221
2017-07-06,64.94,65.13,63.97,64.11,50.7055,20788939
2017-07-07,63.9,64.1,63.29,64.01,50.6264,16036750
2017-07-10,63.92,64.37,63.78,64.22,50.7925,14153840
2017-07-11,64.33,64.8,63.93,64.57,51.0693,11899830
2017-07-12,65.21,65.37,64.47,64.75,51.2117,14818640
2017-07-13,64.8,65.06,64.44,65.01,51.4173,10056780
2017-07-14,65.05,65.52,64.99,65.4,51.7258,10272540
2017-07-17,65.28,65.765,65.22,65.32,51.6625,12214940
2017-07-18,65.65,65.67,64.735,65.01,51.4173,14956760
