Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,22.96,23.31,22.89,23.3,21.112,86681188
2017-04-18,23.14,23.25,22.94,23.08,20.9127,74890352
2017-04-19,23.23,23.32,22.98,23.01,20.8493,55583809
2017-04-20,23.18,23.45,23.0936,23.4,21.2026,85720391
2017-04-21,23.34,23.43,23.15,23.16,20.9852,94675266
2017-04-24,23.69,23.81,23.59,23.68,21.4563,98770609
2017-04-25,23.89,24.01,23.86,23.89,21.6466,71026148
2017-04-26,23.86,24.09,23.82,23.87,21.6285,71691250
2017-04-27,23.92,23.92,23.62,23.76,21.5288,68871766
2017-04-28,23.77,23.79,23.53,23.53,21.3204,64091930
2017-05-01,23.65,23.8,23.55,23.68,21.4563,69086648
2017-05-02,23.68,23.71,23.5229,23.65,21.4292,76511453
2017-05-03,23.57,23.84,23.55,23.84,21.6013,78115438
2017-05-04,23.99,24.07,23.781,23.88,21.6376,64482820
2017-05-05,23.95,23.96,23.76,23.84,21.6013,46881449
2017-05-08,23.87,23.91,23.78,23.82,21.5832,45893020
2017-05-09,23.88,23.96,23.65,23.73,21.5016,65737852
2017-05-10,23.69,23.81,23.645,23.81,21.5741,51192672
2017-05-11,23.72,23.76,23.47,23.66,21.4382,77266711
2017-05-12,23.55,23.57,23.43,23.56,21.3476,55787191
2017-05-15,23.61,23.79,23.6,23.74,21.5107,52192102
2017-05-16,23.79,23.83,23.67,23.81,21.5741,51529641
2017-05-17,23.31,23.49,22.97,23.06,20.8946,141192797
2017-05-18,23.03,23.29,23.0,23.15,20.9761,101656898
2017-05-19,23.19,23.48,23.18,23.35,21.1573,69775648
2017-05-22,23.48,23.48,23.25,23.41,21.2117,79181859
2017-05-23,23.43,23.66,23.32,23.59,21.3748,65577828
2017-05-24,23.62,23.64,23.475,23.58,21.3657,60004719
2017-05-25,23.63,23.73,23.56,23.62,21.402,49362391
2017-05-26,23.56,23.68,23.56,23.61,21.3929,42601711
2017-05-30,23.54,23.566,23.4,23.45,21.2479,46584180
2017-05-31,23.45,23.46,23.1,23.25,21.0667,115877906
2017-06-01,23.38,23.56,23.22,23.54,21.3295,81187586
2017-06-02,23.37,23.57,23.32,23.45,21.2479,83704477
2017-06-05,23.46,23.64,23.46,23.49,21.2842,44055801
2017-06-06,23.31,23.45,23.26,23.39,21.1936,60397340
2017-06-07,23.43,23.63,23.39,23.57,21.3567,83049047
2017-06-08,23.57,24.01,23.55,23.84,21.6013,77986977
2017-06-09,23.99,24.33,23.97,24.29,22.0091,133216203
2017-06-12,24.34,24.51,24.2,24.34,22.0544,86644398
2017-06-13,24.47,24.55,24.395,24.47,22.1722,94978648
2017-06-14,24.26,24.54,24.13,24.51,22.2084,117605797
2017-06-15,24.33,24.54,24.31,24.41,22.1178,59547699
2017-06-16,24.31,24.37,24.2201,24.29,22.0933,53818770
2017-06-19,24.45,24.59,24.42,24.54,22.3207,58041289
2017-06-20,24.46,24.48,24.32,24.33,22.1297,45689648
2017-06-21,24.37,24.38,24.11,24.13,21.9478,51938219
2017-06-22,24.04,24.11,23.95,23.98,21.8113,58380180
2017-06-23,24.08,24.09,23.81,23.89,21.7295,85352594
2017-06-26,23.94,24.12,23.86,24.02,21.8477,60302320
2017-06-27,24.11,24.32,24.05,24.14,21.9569,75943406
2017-06-28,24.3,24.56,24.28,24.52,22.3025,90097602
2017-06-29,25.02,25.02,24.51,24.69,22.4571,119176703
2017-06-30,24.87,24.88,24.62,24.67,22.4389,72754883
2017-07-03,24.81,25.19,24.78,25.03,22.7664,61454449
2017-07-05,25.1,25.13,24.915,25.07,22.8027,78100180
2017-07-06,25.06,25.17,24.88,24.88,22.6299,98353766
2017-07-07,25.01,25.1,24.88,25.05,22.7846,59432441
2017-07-10,25.01,25.08,24.93,25.02,22.7573,55022449
2017-07-11,25.0,25.01,24.73,24.8,22.5572,49857180
2017-07-12,24.77,24.9,24.73,24.88,22.6299,47818559
2017-07-13,24.88,25.03,24.86,25.03,22.7664,48875848
2017-07-14,24.72,24.96,24.59,24.92,22.6663,61742328
2017-07-17,24.85,24.9,24.74,24.84,22.5935,43257047
2017-07-18,24.67,24.84,24.64,24.8,22.5572,63210688
2017-07-19,24.85,24.92,24.72,24.81,22.5663,48259406
2017-07-20,24.83,24.94,24.75,24.8,22.5572,40163539
2017-07-21,24.73,24.88,24.73,24.8,22.5572,43888449
2017-07-24,24.79,24.94,24.785,24.91,22.6572,26364779
2017-07-25,25.19,25.32,25.145,25.22,22.9392,75786812
2017-07-26,25.25,25.29,24.99,25.05,22.7846,56086551
2017-07-27,25.1,25.11,24.8,24.91,22.6572,67826172
2017-07-28,24.87,24.98,24.77,24.91,22.6572,43735809
2017-07-31,25.0,25.1775,24.97,25.09,22.8209,43039262
2017-08-01,25.26,25.29,25.14,25.27,22.9847,60987500
2017-08-02,25.3,25.33,25.18,25.31,23.021,43341512
2017-08-03,25.27,25.31,25.18,25.22,22.9392,40816840
2017-08-04,25.45,25.49,25.34,25.39,23.0938,50792910
2017-08-07,25.39,25.4,25.31,25.35,23.0574,39486770
2017-08-08,25.31,25.59,25.27,25.28,22.9938,52736473
2017-08-09,25.07,25.3,25.07,25.28,22.9938,46567039
2017-08-10,25.12,25.175,24.83,24.83,22.5845,71130289
2017-08-11,24.83,24.958,24.67,24.73,22.4935,50477793
2017-08-14,24.93,25.14,24.92,25.07,22.8027,49472879
2017-08-15,25.28,25.31,25.09,25.09,22.8209,48535039
2017-08-16,25.2,25.24,24.995,25.04,22.7755,35084070
2017-08-17,24.98,25.02,24.6,24.61,22.3843,76613078
2017-08-18,24.49,24.8,24.48,24.62,22.3934,71725883
2017-08-21,24.6,24.63,24.45,24.55,22.3298,45047230
2017-08-22,24.65,24.84,24.62,24.82,22.5754,42644031
2017-08-23,24.64,24.88,24.62,24.74,22.5026,36612711
2017-08-24,24.85,24.85,24.69,24.74,22.5026,31067170
2017-08-25,24.79,24.92,24.78,24.81,22.5663,37177273
2017-08-28,24.83,24.84,24.59,24.65,22.4207,36486930
2017-08-29,24.37,24.61,24.35,24.57,22.348,42814207
2017-08-30,24.61,24.7766,24.59,24.67,22.4389,35176121
2017-08-31,24.75,24.775,24.62,24.7,22.4662,44225191
2017-09-01,24.73,24.91,24.67,24.77,22.5299,42132641
2017-09-05,24.58,24.62,24.17,24.24,22.0478,96579242
