Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,64.22,64.745,64.14,64.72,59.1059,8852403
2017-04-18,64.4,64.769,64.24,64.51,58.9141,7502841
2017-04-19,64.74,64.97,64.45,64.57,58.9689,9455266
2017-04-20,64.91,65.57,64.88,65.35,59.6812,9492503
2017-04-21,65.37,65.615,65.22,65.41,59.736,10211440
2017-04-24,66.31,66.425,66.1,66.34,60.5853,10498250
2017-04-25,66.62,66.84,66.44,66.66,60.8776,12385030
2017-04-26,66.77,67.0357,66.61,66.67,60.8867,12033110
2017-04-27,66.62,66.87,66.385,66.65,60.8685,8111444
2017-04-28,66.75,66.89,66.26,66.34,60.5853,10386330
2017-05-01,66.48,66.48,65.99,66.14,60.4027,11234070
2017-05-02,66.32,66.5,66.18,66.46,60.6949,9450916
2017-05-03,66.27,66.61,66.14,66.51,60.7406,8729178
2017-05-04,66.69,66.755,66.2,66.58,60.8045,8143571
2017-05-05,66.67,66.94,66.53,66.92,61.115,7110794
2017-05-08,66.9,66.97,66.64,66.74,60.9506,6078185
2017-05-09,66.79,67.0,66.75,66.83,61.0328,5968980
2017-05-10,66.87,66.87,66.41,66.69,60.905,7471407
2017-05-11,66.48,66.76,66.08,66.67,60.8867,8400034
2017-05-12,66.5,66.5,66.14,66.3,60.5488,7186375
2017-05-15,66.3,66.66,66.3,66.61,60.8319,8413529
2017-05-16,66.69,66.75,66.28,66.54,60.768,5848784
2017-05-17,65.91,66.01,65.19,65.21,59.5534,15221010
2017-05-18,65.01,65.69,64.65,65.3,59.6356,15260090
2017-05-19,65.51,66.455,65.51,66.16,60.421,10322280
2017-05-22,66.66,66.76,66.47,66.67,60.8867,6506192
2017-05-23,66.78,66.87,66.5,66.81,61.0146,7856044
2017-05-24,66.89,67.13,66.67,66.89,61.0876,7889472
2017-05-25,67.04,67.415,66.99,67.33,61.4895,6840816
2017-05-26,67.24,67.5,67.215,67.41,61.5625,5991008
2017-05-30,67.22,67.48,67.125,67.39,61.5443,6092540
2017-05-31,67.47,67.535,67.06,67.52,61.663,10518800
2017-06-01,67.7,68.12,67.48,67.94,62.0466,16117970
2017-06-02,68.06,68.58,68.05,68.21,62.2931,17769609
2017-06-05,68.13,68.32,67.94,67.97,62.0739,16550721
2017-06-06,67.72,67.85,67.51,67.51,61.6539,15201410
2017-06-07,67.65,67.65,67.1299,67.43,61.5808,8342447
2017-06-08,67.39,67.8,67.34,67.65,61.7817,7040075
2017-06-09,67.72,68.01,67.555,67.91,62.0192,10433660
2017-06-12,68.07,68.245,67.71,68.16,62.2475,13889240
2017-06-13,68.26,68.465,68.16,68.44,62.5032,6723498
2017-06-14,68.6,68.6,68.14,68.37,62.4393,8892757
2017-06-15,67.97,68.78,67.95,68.78,62.8137,20188090
2017-06-16,68.59,68.725,68.43,68.68,63.0188,12871570
2017-06-19,69.02,69.185,68.815,69.1,63.4042,6867011
2017-06-20,68.95,69.01,68.35,68.36,62.7252,7242771
2017-06-21,68.46,68.49,67.82,67.9,62.3031,7530233
2017-06-22,67.89,67.99,67.76,67.76,62.1747,6921726
2017-06-23,67.82,68.16,67.67,68.01,62.4041,6979349
2017-06-26,68.21,68.52,67.98,68.03,62.4224,7161714
2017-06-27,67.95,68.02,67.5,67.52,61.9545,7417217
2017-06-28,67.84,68.29,67.82,68.13,62.5142,7314279
2017-06-29,68.2,68.255,67.17,67.55,61.982,9543636
2017-06-30,67.81,68.44,67.81,68.11,62.4958,6748532
2017-07-03,68.42,68.77,68.32,68.53,62.8812,5553136
2017-07-05,68.71,68.82,68.42,68.73,63.0647,7235950
2017-07-06,68.56,68.65,68.05,68.13,62.5142,5599858
2017-07-07,68.3,68.87,68.24,68.66,63.0005,4166680
2017-07-10,68.61,69.18,68.53,68.86,63.184,7919515
2017-07-11,68.86,68.91,68.315,68.8,63.129,7683534
2017-07-12,69.19,69.495,69.1,69.18,63.4776,5821774
2017-07-13,69.25,69.4,68.97,69.13,63.4318,3938756
2017-07-14,69.24,69.575,69.11,69.43,63.707,5519169
2017-07-17,69.38,69.5,69.19,69.39,63.6703,5113416
2017-07-18,69.28,69.37,69.025,69.23,63.5235,6891118
2017-07-19,69.11,69.3,69.0008,69.3,63.5877,8864581
2017-07-20,69.36,69.4,68.82,68.91,63.2299,7428029
2017-07-21,68.57,68.81,68.34,68.78,63.1106,7643811
2017-07-24,68.71,68.81,68.53,68.63,62.973,7551671
2017-07-25,68.98,68.98,68.34,68.54,62.8904,9077140
2017-07-26,68.74,68.74,68.47,68.63,62.973,6803993
2017-07-27,68.56,68.56,67.91,68.24,62.6151,9900940
2017-07-28,68.17,68.45,68.02,68.4,62.7619,11435660
2017-07-31,68.72,68.75,68.29,68.31,62.6793,6787348
2017-08-01,68.37,68.49,67.905,68.11,62.4958,16893670
2017-08-02,68.11,68.43,68.0,68.41,62.7711,17642859
2017-08-03,68.28,68.75,68.28,68.75,63.0831,13298780
2017-08-04,68.72,68.91,68.6,68.88,63.2024,12746050
2017-08-07,68.83,68.966,68.72,68.88,63.2024,7753092
2017-08-08,68.78,69.07,68.57,68.67,63.0097,9136464
2017-08-09,68.53,68.78,68.5,68.69,63.028,8088193
2017-08-10,68.38,68.56,67.78,67.82,62.2297,10779710
2017-08-11,67.85,68.18,67.78,67.86,62.2664,10501190
2017-08-14,68.31,68.65,68.24,68.57,62.9179,6680893
2017-08-15,68.53,68.62,68.31,68.42,62.7803,5055014
2017-08-16,68.42,68.765,68.42,68.61,62.9546,7725838
2017-08-17,68.24,68.43,67.38,67.42,61.8627,10766250
2017-08-18,67.08,67.61,67.0,67.15,61.615,14111130
2017-08-21,67.22,67.31,66.95,67.26,61.7159,7447304
2017-08-22,67.44,68.09,67.44,68.03,62.4224,6559150
2017-08-23,67.75,67.75,67.39,67.39,61.8352,7027114
2017-08-24,67.56,67.58,67.15,67.18,61.6425,7917391
2017-08-25,67.49,67.755,67.41,67.5,61.9361,7846272
2017-08-28,67.65,67.72,67.365,67.46,61.8994,5999215
2017-08-29,67.24,68.01,67.08,67.95,62.349,8150182
2017-08-30,68.0,68.26,67.86,68.23,62.6059,5463266
2017-08-31,68.36,68.6,68.241,68.46,62.817,8635037
2017-09-01,68.61,68.8,68.52,68.52,62.872,14501870
2017-09-05,68.34,68.42,67.68,67.83,62.2389,16031140
2017-09-06,67.97,68.12,67.83,67.9,62.3031,19701439
2017-09-07,67.95,68.04,67.64,68.04,62.4316,13887020
2017-09-08,67.71,68.37,67.61,68.27,62.6426,8066996
2017-09-11,68.53,68.88,68.53,68.86,63.184,8005620
2017-09-12,69.02,69.21,68.9,69.19,63.4868,7606229
2017-09-13,69.14,69.19,68.94,69.09,63.395,5528446
2017-09-14,68.99,69.44,68.9,69.42,63.6978,6864883
2017-09-15,69.15,69.42,69.0,69.39,63.9614,9989759
2017-09-18,69.54,69.85,69.48,69.78,64.3209,6143732
2017-09-19,69.84,69.935,69.77,69.85,64.3854,7160002
2017-09-20,69.89,70.375,69.89,70.36,64.8555,6676220
2017-09-21,70.32,70.635,70.2,70.57,65.049,4377660
2017-09-22,70.62,70.82,70.55,70.75,65.215,3533893
2017-09-25,70.83,70.85,70.26,70.75,65.215,6917087
2017-09-26,70.77,70.88,70.7,70.75,65.215,3997786
2017-09-27,70.93,71.1068,70.6501,70.83,65.2887,6943694
2017-09-28,70.73,70.85,70.5,70.79,65.2518,6124550
2017-09-29,70.75,71.01,70.62,71.0,65.4454,6527169
2017-10-02,70.97,71.49,70.8575,71.49,65.8971,16764670
2017-10-03,71.53,71.8,71.43,71.8,66.1828,11793430
2017-10-04,71.78,71.9,71.65,71.78,66.1644,14772480
2017-10-05,71.74,72.02,71.61,71.95,66.3211,15061350
2017-10-06,71.84,72.02,71.66,71.94,66.3119,4445370
2017-10-09,71.97,72.11,71.63,71.74,66.1275,7813987
2017-10-10,72.17,72.19,71.72,71.85,66.2289,6264262
2017-10-11,71.76,71.85,71.65,71.81,66.192,7294426
2017-10-12,71.7,72.27,71.69,72.19,66.5423,12112130
2017-10-13,72.49,72.62,71.995,72.06,66.4225,5759041
2017-10-16,72.12,72.19,71.92,72.14,66.4962,7215685
2017-10-17,71.94,72.05,71.8,71.95,66.3211,5235976
2017-10-18,72.0,72.19,71.89,71.98,66.3487,7887734
2017-10-19,71.69,72.18,71.554,72.18,66.5331,6962546
2017-10-20,72.2,72.96,72.01,72.96,67.2521,9043395
2017-10-23,72.95,72.96,72.48,72.5,66.8281,6800578
2017-10-24,72.86,73.2,72.82,72.91,67.206,7921908
2017-10-25,72.86,72.86,71.835,72.19,66.5423,11078770
2017-10-26,72.43,72.63,72.13,72.29,66.6345,8323251
2017-10-27,72.19,72.52,72.15,72.32,66.6621,7534191
2017-10-30,72.15,72.205,71.765,71.82,66.2013,9082134
2017-10-31,71.89,72.08,71.5,71.53,65.9339,8793310
