Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,52.53,52.87,52.53,52.85,49.7351,7066033
2017-04-18,52.71,52.9411,52.63,52.84,49.7257,6243585
2017-04-19,52.92,53.11,52.7,52.8,49.688,7260503
2017-04-20,52.94,53.365,52.86,53.28,50.1397,7581852
2017-04-21,53.3,53.31,53.07,53.17,50.0362,7616549
2017-04-24,53.75,53.8399,53.63,53.8,50.6291,8104989
2017-04-25,54.02,54.1872,53.925,54.08,50.8926,10044770
2017-04-26,54.12,54.21,53.97,54.02,50.8361,8147176
2017-04-27,54.16,54.28,54.105,54.24,51.0432,8591719
2017-04-28,54.41,54.49,54.25,54.38,51.1749,11418370
2017-05-01,54.58,54.855,54.48,54.79,51.5608,7562960
2017-05-02,54.9,54.99,54.71,54.91,51.6737,7535068
2017-05-03,54.73,54.8499,54.5601,54.81,51.5796,7154453
2017-05-04,54.83,54.86,54.59,54.77,51.5419,7579850
2017-05-05,54.86,54.985,54.725,54.97,51.7301,6825813
2017-05-08,55.01,55.2396,54.91,55.21,51.956,6070112
2017-05-09,55.27,55.425,55.17,55.28,52.0219,7694281
2017-05-10,55.34,55.53,55.215,55.49,52.2195,5302044
2017-05-11,55.32,55.45,55.1,55.42,52.1536,9098048
2017-05-12,55.47,55.59,55.41,55.56,52.2854,4653845
2017-05-15,55.63,55.87,55.6,55.87,52.5771,9949265
2017-05-16,56.0,56.13,55.81,56.13,52.8218,9061070
2017-05-17,55.69,55.74,54.57,54.6,51.3819,18544949
2017-05-18,54.46,55.13,54.37,54.92,51.6831,16822250
2017-05-19,55.22,55.41,55.16,55.24,51.9842,10219110
2017-05-22,55.37,55.75,55.36,55.68,52.3983,10510250
2017-05-23,55.91,55.97,55.63,55.78,52.4924,6610474
2017-05-24,55.93,56.02,55.795,56.01,52.7088,9427733
2017-05-25,56.19,56.528,56.0757,56.41,53.0853,6113536
2017-05-26,56.36,56.45,56.235,56.38,53.057,36282199
2017-05-30,56.4,56.6799,56.33,56.62,53.2829,5925282
2017-05-31,56.83,56.85,56.34,56.53,53.1982,14246140
2017-06-01,56.65,56.67,56.315,56.67,53.3299,8436237
2017-06-02,56.88,57.2,56.695,57.19,53.8193,8491012
2017-06-05,57.19,57.39,57.12,57.24,53.8664,6765833
2017-06-06,57.17,57.42,57.06,57.13,53.7628,7685189
2017-06-07,57.26,57.41,57.01,57.31,53.9322,8703668
2017-06-08,57.41,57.48,57.12,57.44,54.0546,7102430
2017-06-09,57.52,57.62,55.22,56.02,52.7183,35142480
2017-06-12,55.44,55.78,54.77,55.69,52.4077,35706391
2017-06-13,55.96,56.27,55.68,56.09,52.7841,18293439
2017-06-14,56.31,56.32,55.355,55.82,52.53,16180600
2017-06-15,55.19,55.65,54.95,55.57,52.2948,14750460
2017-06-16,55.35,55.3691,55.02,55.25,52.2035,21611260
2017-06-19,55.67,56.11,55.64,56.07,52.9783,9929199
2017-06-20,56.05,56.08,55.62,55.62,52.5531,10957740
2017-06-21,55.81,55.96,55.64,55.93,52.846,12293150
2017-06-22,56.1,56.14,55.77,55.95,52.8649,8792805
2017-06-23,55.9,56.4392,55.81,56.3,53.1956,16423570
2017-06-26,56.6,56.72,55.94,56.0,52.9121,9727935
2017-06-27,55.7,55.8,55.08,55.08,52.0429,12895540
2017-06-28,55.29,55.82,54.92,55.77,52.6948,12975960
2017-06-29,55.51,55.51,54.33,54.77,51.75,20973420
2017-06-30,55.0,55.09,54.67,54.72,51.7027,15371870
2017-07-03,54.95,55.05,54.28,54.34,51.3437,16552939
2017-07-05,54.54,54.985,54.36,54.88,51.8539,14809390
2017-07-06,54.4,54.68,54.25,54.38,51.3815,12793360
2017-07-07,54.58,55.19,54.54,55.01,51.9767,8818162
2017-07-10,55.02,55.535,54.94,55.41,52.3547,5594233
2017-07-11,55.35,55.62,55.14,55.53,52.468,6856538
2017-07-12,55.91,56.3,55.875,56.25,53.1483,16551939
2017-07-13,56.33,56.555,56.23,56.36,53.2523,8125081
2017-07-14,56.6,56.92,56.52,56.86,53.7247,6689615
2017-07-17,56.91,57.03,56.76,56.87,53.7342,9837090
2017-07-18,56.76,57.13,56.62,57.13,53.9798,9920176
2017-07-19,57.22,57.47,57.17,57.42,54.2538,6673574
2017-07-20,57.58,57.6,57.21,57.54,54.3672,10372870
2017-07-21,57.29,57.48,57.23,57.47,54.3011,5919823
2017-07-24,57.44,57.66,57.32,57.61,54.4334,5378125
2017-07-25,57.43,57.615,57.25,57.5,54.3294,6880283
2017-07-26,57.81,57.82,57.53,57.72,54.5373,10602650
2017-07-27,58.13,58.2,56.79,57.5,54.3294,23047170
2017-07-28,57.21,57.55,57.16,57.44,54.2727,10293080
2017-07-31,57.53,57.66,57.1,57.16,54.0082,10982830
2017-08-01,57.45,57.5,57.24,57.45,54.2822,8307155
2017-08-02,58.04,58.05,57.25,57.61,54.4334,12573940
2017-08-03,57.69,57.69,57.305,57.48,54.3105,10687840
2017-08-04,57.6,57.785,57.48,57.61,54.4334,4756919
2017-08-07,57.69,57.96,57.665,57.96,54.7641,7683006
2017-08-08,57.88,58.33,57.72,57.88,54.6885,10460700
2017-08-09,57.51,57.89,57.48,57.85,54.6601,6972812
2017-08-10,57.54,57.6,56.675,56.71,53.583,14911850
2017-08-11,56.8,57.285,56.73,57.1,53.9515,14968110
2017-08-14,57.62,58.09,57.5,58.01,54.8113,9758534
2017-08-15,58.13,58.225,57.92,58.1,54.8963,7052565
2017-08-16,58.19,58.48,58.08,58.27,55.057,9055919
2017-08-17,58.05,58.14,57.13,57.13,53.9798,12968880
2017-08-18,57.13,57.47,56.85,57.07,53.9231,16696480
2017-08-21,57.11,57.17,56.67,57.05,53.9042,7978621
2017-08-22,57.35,57.94,57.31,57.9,54.7074,8461229
2017-08-23,57.58,57.915,57.56,57.76,54.5751,8923746
2017-08-24,57.9,57.9562,57.42,57.71,54.5278,8094109
2017-08-25,57.9,58.07,57.58,57.7,54.5184,8333057
2017-08-28,57.84,57.915,57.65,57.81,54.6223,5993304
2017-08-29,57.34,58.135,57.27,58.06,54.8585,8689804
2017-08-30,58.12,58.52,57.985,58.48,55.2554,7654021
2017-08-31,58.62,58.93,58.55,58.83,55.5861,9425768
2017-09-01,58.98,59.03,58.705,58.78,55.5388,6013134
2017-09-05,58.61,58.715,57.87,58.26,55.0475,11901720
2017-09-06,58.44,58.52,58.06,58.31,55.0948,9113735
2017-09-07,58.5,58.63,58.29,58.51,55.2837,7693809
2017-09-08,58.42,58.5,57.985,58.03,54.8302,6259222
2017-09-11,58.49,58.91,58.49,58.85,55.605,7037299
2017-09-12,59.02,59.1,58.72,58.99,55.7373,7861747
2017-09-13,58.92,58.93,58.68,58.91,55.6617,8128285
2017-09-14,58.69,58.975,58.58,58.71,55.4727,7626701
2017-09-15,58.45,58.79,58.35,58.74,55.6995,13123810
2017-09-18,58.83,59.005,58.57,58.79,55.7469,10411960
2017-09-19,58.88,59.17,58.73,59.05,55.9935,5616132
2017-09-20,59.04,59.06,58.4,58.81,55.7659,8950822
2017-09-21,58.79,58.79,58.3,58.49,55.4625,8104649
2017-09-22,58.3,58.6,58.27,58.52,55.4909,4824802
2017-09-25,58.33,58.33,57.57,57.83,54.8366,13573050
2017-09-26,58.14,58.28,57.86,58.04,55.0358,9053314
2017-09-27,58.3,58.81,58.21,58.63,55.5952,7635478
2017-09-28,58.48,58.725,58.36,58.7,55.6616,5589237
2017-09-29,58.8,59.15,58.73,59.1,56.0409,12428710
2017-10-02,59.25,59.3773,58.901,59.19,56.1262,7571862
2017-10-03,59.24,59.355,59.17,59.33,56.259,6466221
2017-10-04,59.23,59.3799,59.03,59.29,56.2211,6649636
2017-10-05,59.47,59.87,59.44,59.86,56.7616,6422654
2017-10-06,59.66,59.98,59.64,59.95,56.8469,5926382
2017-10-09,60.04,60.23,60.0,60.1,56.9891,6949243
2017-10-10,60.29,60.34,59.85,60.16,57.046,5472917
2017-10-11,60.08,60.38,60.08,60.36,57.2357,4980942
2017-10-12,60.22,60.5,60.14,60.21,57.0934,6106396
2017-10-13,60.43,60.605,60.43,60.5,57.3684,5949956
2017-10-16,60.65,60.73,60.51,60.72,57.5771,8306357
2017-10-17,60.7,60.72,60.52,60.72,57.5771,5131673
2017-10-18,60.9,60.95,60.68,60.87,57.7193,6091317
2017-10-19,60.61,60.76,60.29,60.69,57.5486,6872564
2017-10-20,61.06,61.17,60.96,61.1,57.9374,7407398
2017-10-23,61.2,61.25,60.74,60.81,57.6624,7055234
2017-10-24,60.93,61.08,60.731,60.98,57.8236,8035815
2017-10-25,60.84,61.02,60.25,60.65,57.5107,9225908
2017-10-26,61.0,61.16,60.855,60.9,57.7477,9436449
2017-10-27,61.88,62.71,61.88,62.54,59.3028,14539160
2017-10-30,62.56,62.92,62.4434,62.68,59.4356,8574688
2017-10-31,62.92,63.0756,62.67,62.95,59.6916,10111340
2017-11-01,63.25,63.33,62.63,62.96,59.7011,9550669
2017-11-02,62.96,63.05,62.51,62.99,59.7296,10224590
2017-11-03,63.32,63.55,62.95,63.49,60.2037,7659654
2017-11-06,63.45,63.65,63.41,63.63,60.3364,6000230
2017-11-07,63.7,63.72,63.395,63.66,60.3649,5775620
2017-11-08,63.66,64.02,63.485,64.01,60.6968,9100464
2017-11-09,63.52,63.61,62.86,63.5,60.2132,10245420
2017-11-10,63.42,63.55,63.265,63.5,60.2132,5983174
2017-11-13,63.26,63.56,63.25,63.48,60.1942,4300290
2017-11-14,63.29,63.42,62.995,63.35,60.0709,7370757
2017-11-15,63.04,63.1266,62.705,62.88,59.6252,8492534
2017-11-16,63.34,63.89,63.34,63.76,60.4597,7641083
2017-11-17,63.67,63.72,63.305,63.35,60.0709,8302190
2017-11-20,63.5,63.64,63.41,63.59,60.2985,6579936
2017-11-21,63.84,64.3,63.79,64.26,60.9338,8173956
2017-11-22,64.26,64.28,64.03,64.14,60.82,12115820
2017-11-24,64.24,64.53,64.22,64.5,61.1614,4339077
2017-11-27,64.39,64.585,64.28,64.5,61.1614,6889160
2017-11-28,64.6,64.77,64.34,64.71,61.3605,11311650
2017-11-29,64.6,64.61,62.84,63.28,60.0045,33640230
2017-11-30,63.56,64.01,63.33,63.84,60.5356,21047480
2017-12-01,63.45,63.83,62.59,63.51,60.2226,19211811
2017-12-04,63.91,63.94,62.43,62.49,59.2554,16805551
2017-12-05,62.38,63.23,62.11,62.51,59.2744,13927080
2017-12-06,62.26,63.045,62.105,62.91,59.6537,13262340
2017-12-07,62.95,63.4199,62.91,63.3,60.0235,11685610
2017-12-08,63.72,63.91,63.445,63.6,60.308,10059020
2017-12-11,63.57,64.15,63.53,64.15,60.8295,11421610
2017-12-12,64.11,64.36,63.869,64.13,60.8105,8397001
2017-12-13,64.35,64.46,64.07,64.15,60.8295,10356140
2017-12-14,64.23,64.425,64.04,64.07,60.7536,10946050
2017-12-15,64.03,64.65,63.87,64.56,61.4468,21305211
2017-12-18,65.02,65.2,64.91,65.13,61.9893,10760780
2017-12-19,65.0,65.0399,64.57,64.73,61.6086,11976840
2017-12-20,65.01,65.01,64.4,64.71,61.5895,8965187
2017-12-21,64.82,64.93,64.516,64.58,61.4658,15941850
2017-12-22,64.47,64.595,64.37,64.54,61.4277,5485693
2017-12-26,64.14,64.18,63.875,64.11,61.0185,6219227
2017-12-27,64.12,64.3,64.07,64.18,61.0851,5346813
2017-12-28,64.37,64.41,64.18,64.29,61.1898,9658201
2017-12-29,64.33,64.35,63.9,63.95,60.8662,6693188
2018-01-02,64.21,64.74,64.05,64.74,61.6181,13722820
2018-01-03,64.86,65.32,64.79,65.28,62.1321,11331790
2018-01-04,65.54,65.78,65.39,65.61,62.4461,10746590
2018-01-05,65.95,66.36,65.82,66.3,63.1029,9677970
2018-01-08,66.27,66.67,66.23,66.55,63.3408,6733905
2018-01-09,66.68,66.7,66.27,66.38,63.179,10606410
2018-01-10,66.02,66.17,65.83,66.15,62.9601,10407790
2018-01-11,66.3,66.45,66.14,66.42,63.2171,7887761
2018-01-12,66.34,66.9,66.25,66.81,63.5883,8154313
2018-01-16,67.22,67.455,66.375,66.55,63.3408,18221760
2018-01-17,66.93,67.61,66.71,67.55,64.2926,14688080
2018-01-18,67.55,67.845,67.49,67.67,64.4068,14922920
2018-01-19,67.8,67.91,67.45,67.8,64.5305,11947210
2018-01-22,67.75,68.47,67.611,68.46,65.1587,9002067
2018-01-23,68.68,68.9,68.54,68.76,65.4442,10230060
2018-01-24,68.94,69.06,68.0,68.23,64.9398,18509510
2018-01-25,68.66,68.72,67.94,68.11,64.8256,12975910
2018-01-26,68.58,69.19,68.43,69.19,65.8535,10048640
2018-01-29,68.99,68.99,68.47,68.56,65.2539,27589930
2018-01-30,68.0,68.34,67.7608,67.94,64.6638,14831240
2018-01-31,68.34,68.555,68.0,68.45,65.1492,15348880
