Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,54.93,55.23,54.92,55.23,48.2523,10585810
2017-04-18,55.16,55.64,55.06,55.48,48.4707,11085520
2017-04-19,55.55,55.59,55.185,55.27,48.2872,7254574
2017-04-20,55.08,55.25,54.9705,55.16,48.1911,9738220
2017-04-21,55.13,55.17,54.97,55.0,48.0513,8435717
2017-04-24,55.16,55.59,55.16,55.5,48.4881,9831677
2017-04-25,55.53,55.8,55.51,55.72,48.6804,7292892
2017-04-26,55.74,55.74,55.24,55.27,48.2872,7930815
2017-04-27,55.35,55.38,55.1143,55.2,48.2261,5861399
2017-04-28,55.04,55.2,54.89,55.18,48.2086,7034843
2017-05-01,55.26,55.26,54.915,54.97,48.0251,8353940
2017-05-02,54.85,54.96,54.55,54.6,47.7019,7672102
2017-05-03,54.65,54.74,54.48,54.65,47.7455,10973850
2017-05-04,54.79,55.36,54.74,55.07,48.1125,11587680
2017-05-05,55.22,55.28,55.05,55.22,48.2435,8539495
2017-05-08,55.26,55.26,55.085,55.2,48.2261,5323425
2017-05-09,55.18,55.275,54.91,55.0,48.0513,7256877
2017-05-10,55.03,55.11,54.96,55.04,48.0863,5232283
2017-05-11,54.97,55.12,54.88,55.12,48.1562,5058934
2017-05-12,55.07,55.105,54.93,54.96,48.0164,5478808
2017-05-15,54.93,55.2,54.93,55.14,48.1736,7303665
2017-05-16,55.31,55.3866,55.05,55.09,48.1299,4797112
2017-05-17,55.0,55.2,54.86,55.01,48.0601,14021740
2017-05-18,55.03,55.18,54.87,55.05,48.095,7906570
2017-05-19,55.07,55.45,54.99,55.35,48.3571,6277618
2017-05-22,55.36,55.74,55.35,55.66,48.6279,7101778
2017-05-23,55.74,55.98,55.69,55.72,48.6804,7518524
2017-05-24,55.76,55.98,55.69,55.94,48.8726,5152943
2017-05-25,56.02,56.435,56.0,56.29,49.1783,6036649
2017-05-26,56.33,56.51,56.32,56.5,49.3618,4207602
2017-05-30,56.38,56.53,56.29,56.48,49.3443,4250927
2017-05-31,56.53,56.8,56.53,56.64,49.4841,9780138
2017-06-01,56.71,57.1,56.53,57.1,49.886,23243910
2017-06-02,57.25,57.29,56.98,57.27,50.0345,17247920
2017-06-05,57.2,57.36,57.03,57.33,50.0869,17359551
2017-06-06,57.28,57.33,57.08,57.19,49.9646,14846460
2017-06-07,57.07,57.25,57.05,57.17,49.9472,10077730
2017-06-08,57.14,57.15,56.58,56.74,49.5715,10593400
2017-06-09,56.7,56.83,56.52,56.67,49.5103,13410190
2017-06-12,56.69,56.915,56.53,56.66,49.5016,11442370
