Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,51.8,51.93,51.66,51.91,44.1334,7272573
2017-04-18,51.99,52.14,51.83,52.03,44.2355,14707360
2017-04-19,51.97,51.99,51.485,51.67,43.9294,12517050
2017-04-20,51.61,51.61,51.1,51.47,43.7594,13482340
2017-04-21,51.4,51.95,51.4,51.73,43.9804,13259070
2017-04-24,51.78,52.06,51.43,52.0,44.21,18106689
2017-04-25,51.85,52.01,51.64,51.93,44.1504,10891640
2017-04-26,51.92,52.16,51.72,51.77,44.0144,9597402
2017-04-27,51.75,52.2,51.71,51.95,44.1674,9466542
2017-04-28,51.88,51.95,51.54,51.7,43.9549,9405749
2017-05-01,51.82,51.82,51.26,51.39,43.6913,10692520
2017-05-02,51.45,51.64,51.24,51.45,43.7423,9438626
2017-05-03,51.52,51.58,51.24,51.27,43.5893,10507210
2017-05-04,51.12,51.51,51.11,51.45,43.7423,14039080
2017-05-05,51.6,51.92,51.55,51.73,43.9804,10785300
2017-05-08,51.77,51.83,51.45,51.71,43.9634,8789722
2017-05-09,51.67,51.71,51.24,51.33,43.6403,7758919
2017-05-10,51.37,51.52,51.13,51.41,43.7083,8439821
2017-05-11,51.28,51.48,51.07,51.48,43.7679,7699155
2017-05-12,51.6,51.84,51.53,51.73,43.9804,7523074
2017-05-15,51.74,52.04,51.68,51.95,44.1674,6351125
2017-05-16,51.87,52.02,51.51,51.57,43.8444,7653070
2017-05-17,51.7,51.94,51.47,51.7,43.9549,15032840
2017-05-18,51.81,52.145,51.435,51.88,44.1079,16875980
2017-05-19,51.87,52.08,51.58,52.08,44.278,9901328
2017-05-22,52.0,52.61,51.97,52.53,44.6606,7779269
2017-05-23,52.62,52.98,52.53,52.67,44.7796,15290190
2017-05-24,52.72,53.06,52.67,52.97,45.0346,7602342
2017-05-25,53.08,53.49,52.945,53.4,45.4002,16777279
2017-05-26,53.43,53.52,53.3,53.4,45.4002,7649643
2017-05-30,53.44,53.7,53.2934,53.57,45.5448,6292291
2017-05-31,53.63,54.03,53.57,53.84,45.7743,12620690
2017-06-01,53.7,54.23,53.64,54.22,46.0974,11118560
2017-06-02,54.63,54.63,54.12,54.28,46.1484,9956578
2017-06-05,54.28,54.33,54.03,54.11,46.0039,7350014
2017-06-06,54.23,54.23,53.92,53.99,45.9018,7501231
2017-06-07,53.99,54.295,53.9,54.17,46.0549,7881330
2017-06-08,54.06,54.1,53.39,53.72,45.6723,13292650
2017-06-09,53.55,53.71,53.285,53.67,45.6298,13938190
2017-06-12,53.74,53.96,53.27,53.57,45.5448,12821150
2017-06-13,53.51,53.741,53.38,53.7,45.6553,8914879
2017-06-14,54.04,54.28,53.82,53.99,45.9018,15832100
2017-06-15,53.84,54.355,53.84,54.3,46.1654,15549450
2017-06-16,54.02,54.2199,53.92,54.11,46.377,17695760
2017-06-19,54.16,54.19,53.74,53.93,46.2227,17822340
2017-06-20,53.99,54.03,53.86,53.96,46.2484,7588505
2017-06-21,53.95,54.04,53.36,53.64,45.9741,10076570
2017-06-22,53.56,53.7565,53.35,53.39,45.7599,7931165
2017-06-23,53.4,53.6,53.1,53.21,45.6056,8643119
2017-06-26,53.33,53.87,53.14,53.57,45.9141,10355010
2017-06-27,53.33,53.48,52.82,52.97,45.3999,10478790
2017-06-28,53.13,53.25,52.41,52.46,44.9628,9288817
2017-06-29,52.15,52.22,51.84,52.04,44.6028,20595650
2017-06-30,52.1,52.38,51.96,51.96,44.5342,15112940
2017-07-03,52.04,52.18,51.65,51.72,44.3285,12704710
2017-07-05,51.89,51.89,51.3344,51.47,44.1143,14002600
2017-07-06,51.26,51.51,51.255,51.45,44.0971,14058000
2017-07-07,51.44,51.74,51.39,51.49,44.1314,13262980
2017-07-10,51.64,51.755,51.41,51.45,44.0971,16313810
2017-07-11,51.53,51.53,51.17,51.42,44.0714,9055879
2017-07-12,51.87,52.01,51.77,51.86,44.4485,12142990
2017-07-13,51.83,51.965,51.64,51.68,44.2942,6920975
2017-07-14,52.02,52.16,51.86,51.92,44.4999,12607550
2017-07-17,51.95,52.16,51.84,52.16,44.7056,7668995
2017-07-18,52.28,52.365,52.14,52.31,44.8342,7890497
2017-07-19,52.4,52.55,52.25,52.53,45.0228,10669350
2017-07-20,52.67,52.92,52.54,52.91,45.3485,8462529
