Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,73.89,74.27,73.83,74.25,68.223,6149877
2017-04-18,73.84,73.84,73.16,73.44,67.4788,7519486
2017-04-19,73.68,73.87,73.53,73.66,67.6809,5023119
2017-04-20,73.81,74.27,73.47,74.12,68.1036,7307251
2017-04-21,73.99,74.059,73.51,73.68,67.6993,6762958
2017-04-24,74.39,74.59,74.31,74.41,68.37,5450018
2017-04-25,74.71,74.945,74.5,74.73,68.6641,9035698
2017-04-26,75.0,75.44,74.94,75.14,69.0408,6240415
2017-04-27,75.16,75.65,75.01,75.3,69.1878,6962756
2017-04-28,75.36,75.54,75.235,75.5,69.3716,5781071
2017-05-01,75.63,75.815,75.5,75.67,69.5278,7182033
2017-05-02,75.74,75.9,75.3,75.88,69.7207,5243780
2017-05-03,75.65,75.71,75.34,75.51,69.3808,8094141
2017-05-04,75.77,76.01,75.66,76.01,69.8402,4275352
2017-05-05,76.18,76.2,75.66,75.97,69.8034,5720072
2017-05-08,75.91,75.97,75.39,75.5,69.3716,6558505
2017-05-09,75.54,75.73,75.45,75.59,69.4543,3830157
2017-05-10,75.47,75.48,75.06,75.37,69.2521,4314913
2017-05-11,75.25,75.44,75.03,75.41,69.2889,6791572
2017-05-12,75.38,75.485,75.23,75.28,69.1694,2638025
2017-05-15,75.32,75.81,75.25,75.77,69.6197,7320754
2017-05-16,75.69,75.76,75.265,75.48,69.3532,5471675
2017-05-17,74.87,75.08,74.49,74.49,68.4435,11434050
2017-05-18,74.45,75.25,74.45,74.82,68.7468,10690540
2017-05-19,74.95,75.265,74.85,75.03,68.9397,9209758
2017-05-22,74.96,75.315,74.8,75.23,69.1235,4999072
2017-05-23,75.33,75.635,75.27,75.48,69.3532,4216096
2017-05-24,75.52,75.73,75.34,75.67,69.5278,5215731
2017-05-25,75.84,76.18,75.66,76.03,69.8585,4479364
2017-05-26,75.97,76.19,75.81,75.89,69.7299,4507362
2017-05-30,75.65,75.97,75.65,75.78,69.6288,4651153
2017-05-31,75.93,76.25,75.865,76.08,69.9045,5884380
2017-06-01,76.21,76.98,76.13,76.92,70.6763,9149905
2017-06-02,77.14,77.52,77.07,77.42,71.1357,4832974
2017-06-05,77.42,77.5,77.02,77.2,70.9336,5558935
2017-06-06,77.05,77.29,76.88,77.01,70.759,4316464
2017-06-07,77.11,77.295,76.97,77.22,70.952,4415681
2017-06-08,77.17,77.355,76.795,77.0,70.7498,6304426
2017-06-09,77.1,77.755,77.0,77.52,71.2276,13418970
2017-06-12,77.46,77.74,77.05,77.42,71.1357,7700644
2017-06-13,77.49,77.68,77.305,77.58,71.2827,5592460
2017-06-14,77.71,78.17,77.68,77.95,71.6227,6782257
2017-06-15,77.65,77.93,77.44,77.87,71.5492,8185992
2017-06-16,77.66,77.85,77.28,77.69,71.6652,14165190
2017-06-19,77.8,78.57,77.76,78.5,72.4124,8294402
2017-06-20,78.49,79.195,78.46,78.76,72.6523,7697165
2017-06-21,78.92,79.8,78.87,79.76,73.5747,9481247
2017-06-22,79.89,81.08,79.86,80.59,74.3403,12341090
2017-06-23,80.49,80.64,80.17,80.47,74.2296,8779612
2017-06-26,80.7,80.7,80.27,80.39,74.1559,7434432
2017-06-27,80.39,80.49,79.64,79.66,73.4825,8428044
2017-06-28,79.92,80.28,79.88,80.08,73.8699,8674235
2017-06-29,79.99,80.06,78.865,79.35,73.1965,8445842
2017-06-30,79.66,79.66,79.24,79.24,73.095,7817416
2017-07-03,79.51,79.75,79.37,79.38,73.2242,5904203
2017-07-05,79.49,79.95,79.21,79.85,73.6577,8955511
2017-07-06,79.51,79.66,78.71,78.82,72.7076,6421711
2017-07-07,79.1,79.31,78.9,79.22,73.0766,4371418
2017-07-10,79.25,79.28,78.87,79.07,72.9382,3580016
2017-07-11,79.02,79.19,78.58,78.98,72.8552,4117501
2017-07-12,79.37,79.78,79.35,79.52,73.3533,8808227
2017-07-13,79.59,79.84,79.05,79.59,73.4179,9437737
2017-07-14,79.76,80.3,79.6,80.13,73.916,5749986
2017-07-17,80.23,80.285,79.82,79.84,73.6485,5743659
2017-07-18,79.74,79.98,79.36,79.9,73.7039,8042690
2017-07-19,80.24,80.55,80.24,80.55,74.3034,8177869
2017-07-20,80.74,81.21,80.61,81.08,74.7923,8276829
2017-07-21,80.91,81.11,80.845,80.99,74.7093,4796849
2017-07-24,80.92,81.04,80.6148,80.96,74.6817,4476835
2017-07-25,81.15,81.21,80.26,80.38,74.1466,8485963
2017-07-26,80.2,80.28,79.89,80.11,73.8976,4964146
2017-07-27,80.19,80.19,79.231,79.56,73.3902,12536830
2017-07-28,79.59,80.06,79.25,79.96,73.7592,6426095
2017-07-31,80.06,80.225,79.88,79.89,73.6946,5516781
2017-08-01,80.18,80.18,79.61,79.71,73.5286,8678807
2017-08-02,79.7,79.7,79.25,79.53,73.3625,7718482
2017-08-03,79.57,79.82,79.31,79.66,73.4825,8003584
2017-08-04,80.03,80.03,79.38,79.48,73.3164,3930128
2017-08-07,79.4,79.66,79.335,79.65,73.4732,4583270
2017-08-08,79.55,79.69,79.12,79.28,73.1319,4423268
2017-08-09,79.09,79.45,78.95,79.37,73.215,4886488
2017-08-10,79.13,79.2,78.37,78.38,72.3017,7054677
2017-08-11,78.42,78.99,78.42,78.6,72.5047,8318560
2017-08-14,78.94,79.255,78.94,79.13,72.9936,3955758
2017-08-15,79.23,79.39,79.11,79.13,72.9936,4653777
2017-08-16,79.26,79.5,79.165,79.35,73.1965,3756895
2017-08-17,79.1,79.44,78.33,78.36,72.2833,7133350
2017-08-18,78.07,78.53,77.95,78.0,71.9512,8434552
2017-08-21,77.93,78.45,77.82,78.35,72.2741,10268990
2017-08-22,78.37,79.39,78.32,79.3,73.1504,5455500
2017-08-23,79.03,79.045,78.665,78.7,72.5969,5662539
2017-08-24,78.78,79.04,78.63,78.93,72.8091,5502816
2017-08-25,79.1,79.4,78.89,78.95,72.8275,5476522
2017-08-28,79.17,79.5,79.15,79.37,73.215,7432771
2017-08-29,79.04,79.6,78.97,79.52,73.3533,4243532
2017-08-30,79.43,80.13,79.41,79.93,73.7315,3667897
2017-08-31,80.13,81.37,80.13,81.29,74.9861,6987189
2017-09-01,81.41,81.58,80.9153,81.23,74.9307,6471618
2017-09-05,80.89,81.37,80.505,80.88,74.6079,8076875
2017-09-06,81.16,81.35,80.795,81.27,74.9676,8790950
2017-09-07,81.26,82.35,81.24,82.17,75.7978,7250995
2017-09-08,82.05,82.68,81.9108,82.54,76.1391,4302627
2017-09-11,82.91,83.2,82.73,83.18,76.7295,6286176
2017-09-12,83.2,83.37,83.035,83.36,76.8955,6984789
2017-09-13,83.26,83.41,82.8917,83.05,76.6096,5873781
2017-09-14,82.82,83.29,82.7165,83.16,76.711,6373776
2017-09-15,83.06,83.06,82.5,82.59,76.4637,7091336
2017-09-18,82.68,82.9,82.44,82.57,76.4451,7783052
2017-09-19,82.61,82.71,81.83,81.92,75.8434,7329150
2017-09-20,81.95,82.089,81.41,82.0,75.9174,5101780
2017-09-21,81.95,82.04,81.54,81.58,75.5286,4527869
2017-09-22,81.47,81.69,81.155,81.58,75.5286,6473284
2017-09-25,81.47,81.84,81.215,81.34,75.3064,12439330
2017-09-26,81.57,81.7962,81.18,81.21,75.186,4579765
2017-09-27,81.42,81.42,80.835,81.18,75.1583,5384691
2017-09-28,81.11,81.52,80.99,81.25,75.2231,4229024
2017-09-29,81.26,81.77,81.06,81.73,75.6675,6902730
2017-10-02,81.97,82.57,81.88,82.56,76.4359,8764865
2017-10-03,82.68,82.7963,82.215,82.54,76.4174,5141700
2017-10-04,82.66,82.97,82.58,82.94,76.7877,3291140
2017-10-05,82.94,83.01,82.62,83.0,76.8433,7709648
2017-10-06,82.85,83.21,82.76,82.89,76.7414,4035940
2017-10-09,82.88,82.9,82.24,82.37,76.26,4558776
2017-10-10,82.4,82.56,82.11,82.56,76.4359,4037741
2017-10-11,82.51,82.81,82.49,82.72,76.584,4031596
2017-10-12,82.69,82.82,82.53,82.63,76.5007,4732044
2017-10-13,82.36,82.53,82.22,82.42,76.3063,5909628
2017-10-16,82.36,82.68,81.91,82.06,75.973,10219710
2017-10-17,82.23,83.38,82.23,83.16,76.9914,8437761
2017-10-18,83.37,83.73,83.18,83.28,77.1025,6938689
2017-10-19,83.18,83.8147,83.06,83.79,77.5747,6410394
2017-10-20,83.82,83.95,83.59,83.88,77.658,6343777
2017-10-23,83.99,84.305,83.63,83.67,77.4636,7159559
2017-10-24,83.68,83.69,82.63,83.11,76.9451,7145502
2017-10-25,83.03,83.225,82.67,82.99,76.834,6819089
2017-10-26,82.4,82.635,81.66,82.16,76.0656,13466890
2017-10-27,81.87,82.23,81.83,82.14,76.047,6121961
2017-10-30,81.8,81.92,81.08,81.26,75.2323,5884007
2017-10-31,81.21,81.46,80.97,81.11,75.0934,6548619
2017-11-01,81.25,81.65,81.09,81.31,75.2786,7427810
2017-11-02,81.46,81.48,80.755,80.94,74.9361,10200320
2017-11-03,80.85,81.655,80.85,81.61,75.5564,6862733
2017-11-06,81.48,81.57,81.3,81.36,75.3249,4853232
2017-11-07,81.5,81.65,81.2442,81.53,75.4823,4439915
2017-11-08,81.44,81.81,81.34,81.72,75.6582,6186215
2017-11-09,81.52,81.81,81.2299,81.73,75.6675,7086392
2017-11-10,81.53,81.53,80.6947,81.2,75.1768,4826328
2017-11-13,80.93,81.435,80.7,81.28,75.2508,4704018
2017-11-14,81.01,81.1,80.585,80.95,74.9453,7430107
2017-11-15,80.65,80.97,80.44,80.72,74.7324,4952318
2017-11-16,80.84,81.66,80.84,81.56,75.5101,4780484
2017-11-17,81.19,81.5,81.11,81.24,75.2138,6129753
2017-11-20,81.23,81.3,80.77,80.9,74.899,4898452
2017-11-21,81.34,81.795,81.3101,81.61,75.5564,7974451
2017-11-22,81.61,81.9152,81.45,81.58,75.5286,4853077
2017-11-24,81.69,81.8,81.51,81.77,75.7045,1650633
2017-11-27,81.77,81.98,81.7,81.84,75.7693,4241438
2017-11-28,82.04,82.51,81.82,82.44,76.3248,8290415
2017-11-29,82.51,83.15,82.51,82.85,76.7044,8144634
2017-11-30,83.11,83.72,82.8647,83.47,77.2784,10639560
2017-12-01,83.43,83.65,82.17,83.3,77.121,15315400
2017-12-04,83.78,83.795,82.28,82.28,76.1767,9770338
2017-12-05,82.33,82.74,82.07,82.14,76.047,13241030
2017-12-06,82.19,82.46,81.71,82.07,75.9822,8532978
2017-12-07,82.02,82.25,81.77,82.09,76.0008,3979212
2017-12-08,82.33,83.02,82.27,83.01,76.8525,8444114
2017-12-11,83.08,83.41,82.95,83.36,77.1765,6588637
2017-12-12,83.39,83.82,83.39,83.69,77.4821,6068627
2017-12-13,83.68,84.215,83.6543,83.98,77.7506,8459771
2017-12-14,84.05,84.16,83.045,83.13,76.9636,6772081
2017-12-15,83.11,83.74,83.11,83.71,77.808,8012239
2017-12-18,83.98,84.2,83.685,83.74,77.8358,5655404
2017-12-19,83.87,84.159,83.6,83.64,77.7429,4777141
2017-12-20,83.82,83.95,83.36,83.37,77.4919,4686673
2017-12-21,83.63,83.68,83.121,83.18,77.3153,4304185
2017-12-22,83.06,83.16,82.71,82.91,77.0644,7023606
2017-12-26,82.84,83.04,82.75,82.93,77.083,2504110
2017-12-27,82.99,83.29,82.98,83.07,77.2131,4053305
2017-12-28,83.22,83.34,82.93,83.19,77.3246,5380553
2017-12-29,83.33,83.46,82.59,82.68,76.8506,4877164
2018-01-02,82.99,83.65,82.87,83.61,77.715,6708904
2018-01-03,83.6,84.47,83.36,84.41,78.4586,7606500
2018-01-04,84.68,84.835,84.315,84.53,78.5701,7762520
2018-01-05,84.8,85.33,84.635,85.25,79.2394,7579284
2018-01-08,85.15,85.26,84.505,84.94,78.9512,5167335
2018-01-09,85.2,86.12,85.12,85.94,79.8807,6962937
2018-01-10,85.65,85.81,85.15,85.79,79.7413,10835800
2018-01-11,85.94,86.18,85.695,86.16,80.0852,4247768
2018-01-12,86.32,86.92,86.2489,86.82,80.6987,5391784
2018-01-16,87.36,87.9467,87.11,87.25,81.0984,8920043
2018-01-17,87.65,88.2752,87.43,88.09,81.8791,7214557
2018-01-18,88.1,88.2029,87.595,88.11,81.8977,7954811
2018-01-19,88.45,88.4726,88.0,88.44,82.2045,4802430
2018-01-22,88.41,89.07,88.25,89.02,82.7436,11152500
2018-01-23,89.01,89.18,88.51,88.59,82.3439,7637626
2018-01-24,89.03,89.18,88.54,88.85,82.5856,8291063
2018-01-25,89.28,89.699,88.94,89.61,83.292,6339257
2018-01-26,90.02,91.56,90.0,91.54,85.0859,9784419
2018-01-29,91.3,91.79,91.28,91.29,84.8535,12643750
2018-01-30,89.49,90.11,89.22,89.37,83.0689,14270630
2018-01-31,89.83,90.089,87.79,88.1,81.8884,15872440
2018-02-01,87.76,88.529,87.535,88.13,81.9163,12848670
2018-02-02,87.41,88.18,86.87,86.89,80.7638,10539190
2018-02-05,86.46,86.99,82.37,83.04,77.1852,34979840
2018-02-06,81.44,84.32,81.4,83.96,78.0403,33313391
2018-02-07,83.72,85.035,83.43,83.86,77.9474,17337949
2018-02-08,83.84,84.11,80.88,80.95,75.2426,20252471
2018-02-09,81.69,82.8,79.56,82.1,76.3115,35535738
2018-02-12,82.63,83.5149,81.89,82.87,77.0272,13389160
2018-02-13,82.39,83.115,81.88,82.93,77.083,8415182
2018-02-14,82.4,84.015,82.32,83.87,77.9567,10110810
2018-02-15,84.44,84.83,83.59,84.8,78.8211,9519095
2018-02-16,84.38,86.01,84.38,85.41,79.3881,9322953
2018-02-20,85.0,85.28,84.23,84.47,78.5144,8872089
2018-02-21,84.46,85.59,84.11,84.12,78.1891,9417367
2018-02-22,84.39,84.99,83.79,83.99,78.0682,6316117
2018-02-23,84.49,85.36,84.12,85.33,79.3137,5498544
2018-02-26,85.48,86.51,85.48,86.41,80.3176,6266120
2018-02-27,86.41,86.695,85.51,85.51,79.481,7460688
2018-02-28,85.79,85.9,84.12,84.14,78.2076,6279035
2018-03-01,83.99,84.42,82.17,82.8,76.9621,12720270
2018-03-02,82.35,83.82,82.3403,83.64,77.7429,11205970
2018-03-05,83.26,84.645,83.08,84.4,78.4493,11028820
2018-03-06,84.59,84.73,83.86,84.28,78.3378,9573287
2018-03-07,83.56,84.8,83.53,84.71,78.7375,6868154
2018-03-08,84.94,85.35,84.8,85.28,79.2673,6402977
2018-03-09,85.8,86.54,85.48,86.51,80.4105,8253094
2018-03-12,86.54,86.67,86.04,86.14,80.0666,5760183
2018-03-13,86.47,86.85,86.06,86.25,80.1689,6400683
2018-03-14,86.55,86.75,85.55,85.83,79.7785,9416354
2018-03-15,86.13,86.375,85.5836,85.69,79.6484,5883145
2018-03-16,85.38,85.85,85.38,85.39,79.6462,7067672
2018-03-19,85.23,85.34,83.325,84.01,78.359,7190194
2018-03-20,84.2,84.43,83.65,84.13,78.471,5534438
2018-03-21,84.27,84.73,83.7,83.77,78.1352,5498739
2018-03-22,82.96,83.02,81.22,81.36,75.8873,14648450
2018-03-23,81.44,81.6089,79.605,79.67,74.311,11048960
2018-03-26,80.57,81.43,79.645,81.32,75.85,9183474
2018-03-27,81.61,81.85,79.9,80.36,74.9546,10948420
2018-03-28,80.59,81.57,80.48,80.79,75.3556,10146840
2018-03-29,81.22,81.99,80.67,81.4,75.9246,6926405
2018-04-02,81.06,81.48,78.74,79.55,74.199,11364930
2018-04-03,79.98,80.91,79.489,80.76,75.3277,8590726
2018-04-04,79.79,82.14,79.79,81.91,76.4003,9085808
2018-04-05,82.2,82.27,81.54,81.85,76.3443,8031346
2018-04-06,81.17,81.57,79.16,79.88,74.5068,12171810
2018-04-09,80.31,81.79,80.08,80.67,75.2437,6952645
2018-04-10,81.47,82.35,81.195,82.03,76.5122,8240833
2018-04-11,81.42,81.91,81.25,81.36,75.8873,6205752
2018-04-12,81.8,82.3,81.74,81.91,76.4003,5096902
2018-04-13,82.3,82.37,81.43,81.87,76.363,7837028
2018-04-16,82.47,82.82,82.28,82.52,76.9693,7217208
2018-04-17,83.15,83.34,82.715,83.16,77.5662,6500915
2018-04-18,83.37,83.515,82.83,83.23,77.6315,4704510
2018-04-19,83.08,83.16,82.231,82.53,76.9786,5833634
2018-04-20,82.6,82.72,81.815,82.09,76.5682,5250506
2018-04-23,82.31,82.67,82.095,82.41,76.8667,9257292
2018-04-24,82.67,82.73,81.17,81.79,76.2884,8904776
2018-04-25,81.69,82.2,81.12,82.16,76.6335,8068798
2018-04-26,82.4,83.515,82.4,83.2,77.6035,9463278
2018-04-27,83.14,83.67,82.96,83.54,77.9207,6663258
2018-04-30,83.9,83.95,82.25,82.26,76.7268,7240985
2018-05-01,82.16,82.45,81.525,82.22,76.6894,8498012
2018-05-02,81.79,81.85,80.91,81.09,75.6355,11594290
2018-05-03,80.72,80.73,79.31,80.36,74.9546,13524120
2018-05-04,80.12,81.27,79.81,81.0,75.5515,7889544
2018-05-07,81.26,81.58,80.67,80.88,75.4396,5886540
2018-05-08,80.68,80.75,79.7895,80.27,74.8706,9522278
2018-05-09,80.42,81.08,79.98,80.73,75.2997,11340180
2018-05-10,81.07,82.17,81.02,81.81,76.307,7845452
2018-05-11,81.88,83.19,81.73,83.03,77.445,10434030
2018-05-14,83.18,83.925,83.01,83.58,77.958,11837570
2018-05-15,83.03,83.13,82.23,82.5,76.9506,8806830
2018-05-16,82.46,83.25,82.45,82.96,77.3797,7013641
2018-05-17,82.88,83.13,82.52,82.99,77.4077,6610357
2018-05-18,83.05,83.37,82.765,83.2,77.6035,5838854
2018-05-21,83.59,83.75,83.155,83.28,77.6781,6406467
2018-05-22,83.45,83.55,82.99,83.12,77.5289,5770209
2018-05-23,82.77,83.42,82.6738,83.39,77.7807,8360471
2018-05-24,83.34,83.48,82.685,83.06,77.4729,7166498
2018-05-25,83.09,83.46,82.795,82.94,77.361,6853296
2018-05-29,82.4,82.549,81.57,82.09,76.5682,18236760
2018-05-30,82.65,83.51,82.56,83.32,77.7155,13167670
2018-05-31,83.16,83.225,82.38,82.41,76.8667,11543480
2018-06-01,82.74,83.39,82.65,83.36,77.7528,8037829
2018-06-04,83.46,83.7888,83.19,83.67,78.0419,7230786
2018-06-05,83.7,83.8752,83.1,83.5,77.8833,5444372
2018-06-06,83.79,84.53,83.45,84.44,78.7601,7218947
2018-06-07,84.69,84.765,84.135,84.55,78.8627,7405595
2018-06-08,84.52,85.1,84.38,85.04,79.3198,6247131
2018-06-11,85.05,85.61,84.85,85.2,79.469,7074377
2018-06-12,85.29,85.29,84.77,85.15,79.4224,6829166
2018-06-13,85.3,85.72,85.055,85.17,79.441,10379180
2018-06-14,85.34,85.66,85.1,85.61,79.8514,9379776
2018-06-15,85.19,85.5005,84.8,85.46,80.0049,9349332
2018-06-18,84.94,84.94,84.29,84.64,79.2373,7342605
2018-06-19,84.06,84.89,83.93,84.86,79.4432,6431697
2018-06-20,84.97,85.235,84.785,85.04,79.6118,5900793
2018-06-21,84.96,84.965,84.35,84.55,79.153,7423429
2018-06-22,84.86,85.255,84.64,84.93,79.5088,9885619
2018-06-25,84.61,84.94,83.51,84.15,78.7786,9925144
2018-06-26,84.22,84.2803,83.78,83.89,78.5352,5560148
2018-06-27,83.89,84.32,83.12,83.18,77.8705,7420476
2018-06-28,82.87,83.5,82.29,83.29,77.9735,9026946
2018-06-29,83.55,84.2,83.4,83.46,78.1326,6483097
2018-07-02,83.0,83.77,82.72,83.72,78.376,9364654
2018-07-03,84.02,84.31,83.7,83.92,78.5632,3023094
2018-07-05,84.31,84.875,84.11,84.79,79.3777,7458631
2018-07-06,85.2,86.155,85.1,86.01,80.5198,9823810
2018-07-09,86.35,86.805,86.32,86.64,81.1096,7874410
2018-07-10,86.81,87.0072,86.58,86.97,81.4186,6123152
2018-07-11,86.5,86.59,86.22,86.28,80.7726,6434456
2018-07-12,86.71,87.295,86.66,87.24,81.6713,4461646
2018-07-13,87.05,87.59,87.0,87.4,81.8211,6048678
2018-07-16,87.47,87.47,86.745,86.87,81.3249,5388542
2018-07-17,86.84,87.4752,86.8,87.35,81.7743,5849313
2018-07-18,87.37,87.44,87.11,87.42,81.8398,7575723
2018-07-19,87.21,87.39,86.553,86.93,81.3811,5204046
2018-07-20,86.69,86.89,86.51,86.76,81.222,4822554
2018-07-23,86.71,87.05,86.61,86.94,81.3905,3824739
2018-07-24,87.4,87.88,87.34,87.73,82.13,6467139
2018-07-25,87.68,88.87,87.59,88.85,83.1786,9297528
2018-07-26,88.7,88.91,88.41,88.6,82.9445,5763060
2018-07-27,88.64,88.64,87.64,87.96,82.3454,5743036
2018-07-30,87.89,88.18,87.75,88.01,82.3922,5531205
2018-07-31,88.33,89.05,88.2,88.93,83.2535,6719131
2018-08-01,88.88,89.28,88.88,88.95,83.2722,5733043
2018-08-02,88.57,89.465,88.53,89.28,83.5811,5666184
2018-08-03,89.35,89.875,89.23,89.81,84.0773,5884770
2018-08-06,89.76,90.1699,89.4434,89.97,84.2271,4751412
2018-08-07,89.98,90.28,89.86,89.98,84.2364,5170584
2018-08-08,89.99,90.25,89.79,90.12,84.3675,5020356
2018-08-09,90.13,90.38,89.925,90.02,84.2739,5680303
2018-08-10,89.69,90.16,89.32,89.63,83.9088,5389456
2018-08-13,89.73,90.085,89.425,89.66,83.9369,6563902
2018-08-14,89.79,90.24,89.7,90.08,84.33,5497737
2018-08-15,89.8,90.04,89.36,89.93,84.1896,6840614
2018-08-16,90.19,90.93,90.08,90.81,85.0134,6916702
2018-08-17,90.74,91.3749,90.53,91.09,85.2756,5455285
2018-08-20,91.3,91.56,91.25,91.39,85.5564,8144869
2018-08-21,91.62,91.66,91.195,91.39,85.5564,6395926
2018-08-22,91.18,91.68,91.07,91.48,85.6407,3954306
2018-08-23,91.43,91.67,91.23,91.45,85.6126,6058378
2018-08-24,91.66,91.89,91.485,91.89,86.0245,4029139
2018-08-27,92.22,92.29,91.83,92.22,86.3334,4671309
2018-08-28,92.36,92.39,92.07,92.27,86.3803,4954106
2018-08-29,92.29,92.965,92.19,92.87,86.942,5338515
2018-08-30,92.8,93.11,92.6,92.8,86.8764,5266116
2018-08-31,92.58,92.86,92.4,92.78,86.8577,5808393
2018-09-04,92.7,92.76,91.82,92.04,86.1649,6875469
2018-09-05,91.97,92.41,91.795,92.41,86.5113,10218940
2018-09-06,92.4,92.6,91.85,92.41,86.5113,5940322
2018-09-07,92.19,92.64,92.05,92.55,86.6424,5591062
2018-09-10,92.78,92.95,92.22,92.31,86.4177,4233993
2018-09-11,92.15,92.41,91.84,92.23,86.3428,5683869
2018-09-12,92.29,92.86,92.11,92.69,86.7734,11056600
2018-09-13,93.09,93.84,93.0,93.84,87.85,10603830
2018-09-14,93.92,93.92,93.36,93.53,87.5598,5929022
2018-09-17,93.53,93.54,93.075,93.19,87.2415,5543053
2018-09-18,93.19,93.97,93.05,93.73,87.7471,5423032
2018-09-19,93.67,93.865,93.5,93.6,87.6254,4186602
2018-09-20,93.87,94.57,93.8144,94.51,88.4773,5083129
2018-09-21,94.39,94.48,94.07,94.27,88.5945,8579137
2018-09-24,94.21,94.65,94.075,94.46,88.773,5392620
2018-09-25,94.59,94.73,94.07,94.17,88.5005,5215945
2018-09-26,94.35,95.12,94.1801,94.38,88.6978,10880500
2018-09-27,94.51,95.12,94.4,94.86,89.1489,7168813
2018-09-28,94.67,95.21,94.63,95.15,89.4215,5995812
2018-10-01,95.51,96.06,95.34,95.62,89.8632,7307132
2018-10-02,95.62,95.7,95.33,95.51,89.7598,5572670
2018-10-03,95.83,96.0,95.18,95.33,89.5906,6367826
2018-10-04,95.26,95.295,93.9144,94.4,88.7166,10976850
2018-10-05,94.48,94.97,93.7,94.29,88.6133,12291090
2018-10-08,94.17,94.52,93.46,94.25,88.5757,11924050
2018-10-09,94.0,94.74,93.71,94.41,88.726,7463876
2018-10-10,94.4,94.51,92.12,92.18,86.6303,22549320
2018-10-11,91.93,92.14,89.04,89.69,84.2902,46582160
2018-10-12,90.77,91.41,90.02,91.07,85.5871,20797359
2018-10-15,90.92,91.32,90.37,90.44,84.995,13909710
2018-10-16,91.14,93.08,91.13,92.92,87.3257,13505910
2018-10-17,92.86,93.64,92.39,93.41,87.7862,14232290
2018-10-18,93.36,93.37,91.61,92.35,86.7901,14455860
2018-10-19,92.51,92.83,91.39,91.51,86.0006,11318610
2018-10-22,91.5,91.67,90.34,90.76,85.2958,8288278
2018-10-23,89.6,90.71,88.88,90.27,84.8353,15424490
2018-10-24,90.23,90.75,87.18,87.29,82.0347,17432150
2018-10-25,87.28,89.03,86.27,88.42,83.0967,15725060
2018-10-26,87.6,88.22,86.35,87.42,82.1569,25507930
2018-10-29,88.43,89.08,86.41,87.64,82.3636,14024310
2018-10-30,87.65,88.72,87.2,88.58,83.247,15432050
2018-10-31,89.29,89.65,88.63,88.7,83.3598,13460680
2018-11-01,89.0,89.97,88.97,89.82,84.4124,9668637
2018-11-02,90.69,90.84,88.67,89.26,83.8861,12952990
2018-11-05,89.38,90.45,89.38,90.05,84.6285,7783769
2018-11-06,89.93,90.605,89.8,90.51,85.0608,7980944
2018-11-07,91.35,93.25,91.29,93.17,87.5607,13310810
2018-11-08,93.0,93.555,92.87,93.22,87.6077,7345597
2018-11-09,93.11,93.26,92.5,92.95,87.3539,8486522
2018-11-12,92.81,92.95,91.48,91.69,86.1698,8423548
2018-11-13,92.0,92.365,90.78,91.05,85.5683,14226950
2018-11-14,91.61,91.62,89.891,90.32,84.8823,11664020
2018-11-15,89.68,91.23,88.83,91.12,85.6341,15563870
2018-11-16,90.96,92.48,90.91,92.04,86.4987,11323190
2018-11-19,92.13,92.19,90.47,90.87,85.3992,8820959
2018-11-20,90.3,90.97,89.81,90.02,84.6003,11604320
2018-11-21,90.31,90.32,89.485,89.51,84.121,9345117
2018-11-23,89.03,90.18,88.98,89.64,84.2432,3939469
2018-11-26,90.36,90.75,89.98,90.51,85.0608,7141247
2018-11-27,90.21,91.45,89.88,91.45,85.9442,9261963
