Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,86.77,87.44,86.77,87.44,82.7923,3477605
2017-04-18,87.23,87.59,87.01,87.45,82.8018,2554196
2017-04-19,87.74,88.09,87.46,87.53,82.8776,3736547
2017-04-20,87.9,88.62,87.87,88.45,83.7487,4386207
2017-04-21,88.33,88.42,88.03,88.25,83.5593,3852436
2017-04-24,89.18,89.209,88.72,88.82,84.099,4243034
2017-04-25,89.12,89.645,89.12,89.52,84.7618,5404552
2017-04-26,89.75,90.3175,89.63,89.94,85.1595,4082207
2017-04-27,90.4,90.545,90.17,90.42,85.614,3663998
2017-04-28,90.61,90.78,89.95,90.06,85.2731,5059755
2017-05-01,90.26,90.52,90.0741,90.18,85.3867,5913870
2017-05-02,90.23,90.28,89.75,90.28,85.4814,3960601
2017-05-03,90.21,90.45,89.49,89.75,84.9796,2816743
2017-05-04,89.82,89.82,89.27,89.61,84.847,5339638
2017-05-05,89.97,90.17,89.53,90.17,85.3772,3219275
2017-05-08,90.49,90.51,90.015,90.34,85.5382,2506161
2017-05-09,90.54,90.93,90.37,90.86,86.0306,10257770
2017-05-10,90.49,90.58,90.215,90.55,85.737,3518774
2017-05-11,90.38,90.38,89.46,90.01,85.2257,4351558
2017-05-12,90.1,90.1,89.77,89.88,85.1027,3230814
2017-05-15,89.9,90.28,89.795,89.9,85.1216,3952248
2017-05-16,89.95,90.02,89.53,89.59,84.8281,4198330
2017-05-17,89.04,89.27,88.13,88.14,83.4551,8289390
2017-05-18,88.14,89.06,88.14,88.65,83.938,6521757
2017-05-19,88.8,89.54,88.7,89.25,84.5061,3694974
2017-05-22,89.42,89.8,89.37,89.7,84.9322,2946716
2017-05-23,89.77,89.96,89.22,89.36,84.6103,2089011
2017-05-24,89.33,89.71,89.005,89.68,84.9133,3871101
2017-05-25,89.97,90.75,89.97,90.47,85.6613,3301914
2017-05-26,90.59,90.79,90.49,90.74,85.9169,2324013
2017-05-30,90.74,91.03,90.73,90.81,85.9832,2638884
2017-05-31,90.97,91.09,90.33,91.05,86.2105,5103647
2017-06-01,91.28,91.91,91.01,91.91,87.0248,5147498
2017-06-02,91.96,92.3452,91.83,92.24,87.3372,3134363
2017-06-05,92.34,92.42,91.82,91.99,87.1005,5499327
2017-06-06,91.67,91.855,91.13,91.2,86.3525,3563744
2017-06-07,91.34,91.515,91.15,91.36,86.504,4671512
2017-06-08,91.37,91.47,90.65,90.77,85.9453,5198798
2017-06-09,90.86,90.99,89.56,90.37,85.5666,10989010
2017-06-12,90.08,90.555,89.95,90.32,85.5193,6436554
2017-06-13,90.53,91.01,90.5001,90.88,86.0495,4164849
2017-06-14,91.21,91.35,90.36,90.83,86.0022,4809407
2017-06-15,90.16,90.52,89.715,90.45,85.6424,3585054
2017-06-16,90.5,90.5,89.64,90.15,85.6183,7711618
2017-06-19,90.53,90.98,90.3,90.84,86.2736,3419785
2017-06-20,90.68,90.7,89.68,89.7,85.1909,3352527
2017-06-21,89.93,89.98,89.52,89.84,85.3238,3126222
2017-06-22,89.83,89.965,89.61,89.63,85.1244,3658877
2017-06-23,89.63,89.63,89.23,89.52,85.0199,3922640
2017-06-26,89.96,90.11,89.56,89.84,85.3238,4708660
2017-06-27,89.65,89.9866,89.13,89.13,84.6495,4014898
2017-06-28,89.39,90.1275,89.33,90.03,85.5043,5030799
2017-06-29,89.86,89.95,88.46,89.16,84.678,4901666
2017-06-30,89.6,90.02,89.44,89.63,85.1244,4656803
2017-07-03,89.88,90.32,89.5,89.54,85.0389,2807322
2017-07-05,89.53,89.55,88.895,89.32,84.83,3985053
2017-07-06,88.77,89.04,88.35,88.41,83.9657,3797421
2017-07-07,88.6,89.2661,88.6,89.2,84.716,2579747
2017-07-10,89.27,89.53,89.01,89.39,84.8965,2700116
2017-07-11,89.29,89.35,88.72,89.21,84.7255,3212276
2017-07-12,89.71,90.02,89.65,89.89,85.3713,3033865
2017-07-13,90.15,90.25,89.83,89.9,85.3808,3311710
2017-07-14,90.18,90.3,89.785,90.19,85.6563,4139975
2017-07-17,90.19,90.56,90.19,90.41,85.8652,3177182
2017-07-18,90.33,90.83,90.26,90.82,86.2546,3489985
2017-07-19,90.99,91.359,90.92,91.26,86.6725,2656159
2017-07-20,91.35,91.42,90.76,91.07,86.492,4599489
2017-07-21,90.64,91.13,90.64,91.13,86.549,3324429
2017-07-24,91.16,91.16,90.72,90.82,86.2546,2040899
2017-07-25,91.16,91.6952,91.01,91.46,86.8624,5048411
2017-07-26,91.61,91.63,91.32,91.42,86.8244,2864393
2017-07-27,91.81,92.55,91.32,92.09,87.4607,6637638
2017-07-28,91.19,91.5,91.04,91.39,86.7959,3916736
2017-07-31,91.72,91.85,91.0563,91.36,86.7674,3130649
2017-08-01,91.63,91.7,91.23,91.52,86.9194,4375438
2017-08-02,91.48,91.52,90.73,91.27,86.682,2888005
2017-08-03,91.18,91.495,90.985,91.02,86.4445,3595719
2017-08-04,91.22,91.22,90.66,91.03,86.454,2449353
2017-08-07,91.19,91.37,91.07,91.24,86.6535,3469717
2017-08-08,91.24,91.77,91.02,91.29,86.701,3025108
2017-08-09,90.21,90.82,90.04,90.76,86.1976,4898141
2017-08-10,90.38,90.53,89.38,89.4,84.906,4904886
2017-08-11,89.18,90.05,89.18,89.86,85.3428,4919590
2017-08-14,90.36,90.8,90.34,90.5,85.9507,3754082
2017-08-15,90.46,90.54,89.66,89.67,85.1624,3095655
2017-08-16,90.0,90.3,89.75,90.13,85.5993,2452677
2017-08-17,89.9,90.0,88.69,88.69,84.2317,4895731
2017-08-18,88.5,88.74,88.15,88.25,83.8138,6787836
2017-08-21,88.22,88.53,87.89,88.41,83.9657,10550700
2017-08-22,88.67,89.46,88.62,89.36,84.868,4385556
2017-08-23,88.76,88.92,88.45,88.6,84.1462,4840795
2017-08-24,89.04,89.25,88.27,88.41,83.9657,2765860
2017-08-25,88.67,89.01,88.47,88.63,84.1747,3244564
2017-08-28,88.92,88.98,88.56,88.68,84.2222,2184210
2017-08-29,88.11,88.7,87.97,88.6,84.1462,2755578
2017-08-30,88.65,89.35,88.56,89.24,84.754,2256426
2017-08-31,89.49,89.74,89.36,89.66,85.1529,3994053
2017-09-01,89.89,90.23,89.84,90.07,85.5423,2431911
2017-09-05,89.82,90.2,89.18,89.7,85.1909,4955544
2017-09-06,89.84,90.365,89.65,90.26,85.7227,3004657
2017-09-07,90.45,90.57,89.27,89.48,84.9819,5354006
2017-09-08,89.3,89.38,89.015,89.17,84.6875,2589950
2017-09-11,89.49,89.73,89.42,89.64,85.1339,3351563
2017-09-12,89.86,90.17,89.7432,90.04,85.5138,2720090
2017-09-13,89.99,90.69,89.99,90.69,86.1311,3291562
2017-09-14,90.47,90.7,90.17,90.2,85.6658,3516900
2017-09-15,89.71,89.97,89.58,89.63,85.4255,3911134
2017-09-18,89.91,89.98,89.1234,89.32,85.1301,6569557
2017-09-19,89.33,89.48,88.91,89.24,85.0538,6400542
2017-09-20,89.37,89.61,89.06,89.54,85.3397,3709887
2017-09-21,89.51,89.61,89.24,89.39,85.1968,4207581
2017-09-22,89.16,89.59,89.142,89.54,85.3397,3116275
2017-09-25,89.51,89.71,89.06,89.35,85.1587,7167628
2017-09-26,89.61,89.79,89.165,89.36,85.1682,3073229
2017-09-27,89.59,90.02,89.2,89.85,85.6352,5229087
2017-09-28,89.72,89.82,89.58,89.74,85.5304,3599766
2017-09-29,89.75,90.175,89.71,90.08,85.8544,3472016
2017-10-02,90.19,90.45,90.063,90.25,86.0164,2929666
2017-10-03,90.4,90.645,90.33,90.63,86.3786,4915550
2017-10-04,90.7,91.1562,90.6024,91.1,86.8266,4931739
2017-10-05,91.24,91.635,91.12,91.61,87.3126,7220520
2017-10-06,91.46,91.85,91.46,91.72,87.4175,3133244
2017-10-09,91.88,91.89,91.34,91.43,87.1411,4270062
2017-10-10,91.49,91.77,91.12,91.34,87.0553,2756674
2017-10-11,91.39,91.49,91.16,91.39,87.103,3842849
2017-10-12,91.05,91.07,90.58,90.78,86.5216,4583954
2017-10-13,90.95,91.3,90.84,91.22,86.9409,2730147
