Date,Open,High,Low,Close,Adjusted_close,Volume
2017-04-17,81.85,81.97,81.435,81.58,62.7026,9577168
2017-04-18,81.32,81.82,81.03,81.05,62.2953,8821414
2017-04-19,81.17,81.51,80.3,80.49,61.8649,10764440
2017-04-20,80.95,81.74,80.7,81.01,62.2645,11649050
2017-04-21,80.93,81.0,80.47,80.69,62.0186,9816669
2017-04-24,81.28,81.4,80.81,81.11,62.3414,8729701
2017-04-25,81.43,81.9301,81.2801,81.73,62.8179,10733810
2017-04-26,81.52,82.33,81.3901,81.4,62.5643,9445925
2017-04-27,81.07,81.3,80.94,81.26,62.4567,12385260
2017-04-28,82.46,82.49,81.56,81.65,62.7564,12072170
2017-05-01,81.51,82.21,81.48,82.06,63.0716,8664074
2017-05-02,82.14,82.59,81.9,82.05,63.0639,9102893
2017-05-03,81.97,83.0699,81.91,82.7,63.5635,10289050
2017-05-04,82.29,82.36,81.4,81.64,62.7488,16164530
2017-05-05,81.63,82.235,81.61,82.02,63.0408,10213000
2017-05-08,82.0,82.94,82.0,82.89,63.7095,8097077
2017-05-09,82.96,83.0,82.16,82.31,63.2637,8647093
2017-05-10,82.12,82.37,81.65,81.91,63.5508,9520322
2017-05-11,82.59,82.71,82.1,82.61,64.0939,10047310
2017-05-12,82.39,82.71,82.25,82.55,64.0473,7480240
2017-05-15,83.0,83.1829,82.65,82.8,64.2413,10881470
2017-05-16,82.9,83.23,82.45,82.55,64.0473,9574192
2017-05-17,82.3,83.04,81.96,81.99,63.6129,11151070
2017-05-18,81.77,82.15,81.42,81.75,63.4267,9905799
2017-05-19,82.0,82.09,81.695,81.93,63.5663,13028510
2017-05-22,82.11,82.33,81.93,82.29,63.8456,9218736
2017-05-23,82.32,82.885,82.24,82.58,64.0706,6857205
2017-05-24,82.42,82.54,82.01,82.29,63.8456,8263795
2017-05-25,82.33,82.71,81.52,81.75,63.4267,12370870
2017-05-26,81.61,81.8,80.83,81.55,63.2715,8227074
2017-05-30,81.28,81.34,81.04,81.1,62.9223,8973580
2017-05-31,80.94,80.95,80.47,80.5,62.4568,13572310
2017-06-01,80.37,80.9,80.19,80.7,62.612,9884090
2017-06-02,80.59,80.68,79.26,79.5,61.681,21687311
2017-06-05,79.44,80.39,79.4,80.12,62.162,11527070
2017-06-06,80.3,81.32,80.22,81.21,63.0077,12208650
2017-06-07,81.05,81.4,80.34,80.91,62.7749,13096540
2017-06-08,80.51,81.08,80.49,80.62,62.5499,11720670
2017-06-09,81.15,82.14,80.69,82.13,63.7215,13553890
2017-06-12,82.67,83.69,82.64,82.93,64.3422,18172939
2017-06-13,82.85,83.27,82.57,82.96,64.3654,12175520
2017-06-14,82.81,82.82,81.56,82.07,63.6749,13713960
2017-06-15,81.78,82.4,81.58,82.26,63.8223,11862610
2017-06-16,82.61,83.54,82.2,83.49,64.7767,39726070
2017-06-19,83.22,83.45,82.55,82.76,64.2103,10445740
2017-06-20,82.07,82.466,81.41,82.31,63.8611,13232590
2017-06-21,82.04,82.63,81.14,81.44,63.1861,11422350
2017-06-22,81.45,81.58,80.9,81.08,62.9068,8139916
2017-06-23,80.85,81.69,80.76,81.61,63.318,10611160
2017-06-26,81.57,81.75,80.9073,81.24,63.031,7718724
2017-06-27,81.45,81.73,81.11,81.11,62.9301,9221642
2017-06-28,81.41,81.76,81.185,81.53,63.256,9189671
2017-06-29,81.37,81.84,80.41,80.7,62.612,20525080
2017-06-30,81.08,81.241,80.7,80.73,62.6353,14000610
2017-07-03,80.79,82.49,80.72,82.1,63.6982,8422283
2017-07-05,81.68,81.68,80.515,80.85,62.7284,9830764
2017-07-06,80.86,81.08,80.09,80.12,62.162,9822388
2017-07-07,80.2,80.595,79.81,80.22,62.2396,10777830
2017-07-10,80.0,80.41,79.96,80.16,62.193,6338262
2017-07-11,80.33,80.7547,80.0399,80.6,62.5344,9681117
2017-07-12,81.19,81.515,80.75,80.96,62.8137,7973953
2017-07-13,80.97,81.09,80.73,80.97,62.8215,5582349
2017-07-14,81.0,81.41,80.77,81.28,63.062,7497160
2017-07-17,81.0,81.43,80.83,80.86,62.7361,7914701
2017-07-18,81.02,81.08,80.41,80.6,62.5344,8046119
2017-07-19,80.44,80.87,80.27,80.85,62.7284,9393178
2017-07-20,80.97,81.49,80.75,80.86,62.7361,9680965
2017-07-21,80.65,80.84,80.0,80.12,62.162,12268610
2017-07-24,80.06,80.22,79.76,79.87,61.968,9402997
2017-07-25,80.77,81.05,80.27,80.27,62.2784,11465270
2017-07-26,80.58,80.9,80.2,80.37,62.356,10465120
2017-07-27,80.24,80.88,79.8966,80.83,62.7129,11149690
2017-07-28,79.65,79.92,78.27,79.6,61.7586,22800789
2017-07-31,79.83,80.39,79.6,80.04,62.0999,12820180
2017-08-01,80.16,80.54,79.97,80.17,62.2008,10421210
2017-08-02,79.9,80.64,79.8,80.6,62.5344,10410080
2017-08-03,80.34,80.82,80.2999,80.49,62.4491,10136710
2017-08-04,80.44,80.56,80.05,80.21,62.2318,8292204
2017-08-07,80.17,80.17,79.86,80.16,62.193,7893753
2017-08-08,80.02,80.215,79.83,79.96,62.0379,9028396
2017-08-09,80.25,80.35,79.78,80.21,62.2318,8087101
2017-08-10,79.76,79.78,78.91,78.97,61.8636,12580300
2017-08-11,79.21,79.25,78.2,78.21,61.2683,10192380
2017-08-14,78.62,78.79,78.12,78.23,61.2839,8862475
2017-08-15,78.12,78.25,77.68,78.04,61.1351,10350950
2017-08-16,78.04,78.17,77.31,77.47,60.6886,9117145
2017-08-17,77.26,77.28,76.21,76.26,59.7407,13400360
2017-08-18,76.18,77.11,76.05,76.64,60.0384,14324340
2017-08-21,76.47,76.62,76.08,76.38,59.8347,10084930
2017-08-22,76.55,77.335,76.53,76.74,60.1167,9503600
2017-08-23,76.7,77.01,76.47,76.61,60.0149,7054254
2017-08-24,76.5,76.65,76.2,76.33,59.7955,8678316
2017-08-25,76.56,77.13,76.43,76.72,60.101,6844875
2017-08-28,76.9,76.94,76.26,76.47,59.9052,8229665
2017-08-29,76.21,76.49,76.08,76.45,59.8895,7060375
2017-08-30,76.24,76.45,76.06,76.1,59.6153,8217965
2017-08-31,76.27,76.49,76.05,76.33,59.7955,15641740
2017-09-01,76.37,76.85,76.32,76.57,59.9835,7361092
2017-09-05,76.64,77.36,76.61,77.18,60.4614,12784850
2017-09-06,77.89,79.225,77.58,78.78,61.7148,18574381
2017-09-07,79.02,79.3299,78.61,79.03,61.9106,9836447
2017-09-08,79.01,79.04,78.63,78.82,61.7461,8436033
2017-09-11,79.41,79.42,78.9,79.25,62.083,12955770
2017-09-12,79.4,79.69,79.24,79.5,62.2788,7644403
2017-09-13,79.5,79.77,79.38,79.77,62.4903,8369659
2017-09-14,79.85,80.23,79.77,80.09,62.741,9072627
2017-09-15,80.12,80.21,79.55,80.07,62.7254,16043710
2017-09-18,79.79,80.14,79.7,80.09,62.741,8594362
2017-09-19,80.06,80.39,79.985,80.22,62.8429,9277072
2017-09-20,80.28,80.66,80.26,80.55,63.1014,10606860
2017-09-21,80.49,80.53,79.76,79.89,62.5844,11984170
2017-09-22,79.72,80.3,79.67,79.92,62.6079,10205790
2017-09-25,80.03,81.0,79.98,80.98,63.4382,10496640
2017-09-26,80.71,80.995,80.56,80.89,63.3677,8755080
2017-09-27,80.89,81.45,80.79,81.43,63.7908,9724511
2017-09-28,81.63,82.45,81.56,82.19,64.3861,15581730
2017-09-29,81.94,82.055,81.575,81.98,64.2216,9943991
2017-10-02,81.3,81.819,81.245,81.63,63.9474,6777857
2017-10-03,81.41,81.97,81.3,81.76,64.0493,6081997
2017-10-04,81.8,81.87,81.45,81.79,64.0728,6357088
2017-10-05,81.72,82.24,81.59,82.02,64.253,7375872
2017-10-06,81.77,81.89,81.355,81.71,64.0101,6070620
2017-10-09,81.84,82.18,81.76,82.03,64.2608,7489884
2017-10-10,82.34,82.735,82.09,82.26,64.441,7218534
2017-10-11,82.16,82.74,82.14,82.6,64.7073,7023706
2017-10-12,82.31,82.5,82.17,82.43,64.5741,6647544
2017-10-13,82.73,83.08,82.36,82.41,64.5585,7180046
2017-10-16,82.7,82.95,82.54,82.81,64.8718,5734007
2017-10-17,82.63,82.97,82.54,82.96,64.9893,6444106
2017-10-18,82.96,83.391,82.54,82.76,64.8327,6367060
2017-10-19,82.35,83.05,82.33,82.74,64.817,7945461
2017-10-20,82.85,83.13,82.62,83.11,65.1068,9574086
2017-10-23,83.15,83.76,83.0401,83.24,65.2087,9829896
2017-10-24,83.55,83.8065,83.31,83.47,65.3889,7551187
2017-10-25,83.45,83.73,82.9465,83.17,65.1538,9153318
2017-10-26,83.37,83.65,83.11,83.47,65.3889,9154478
2017-10-27,83.0,84.24,82.01,83.71,65.5769,14866250
2017-10-30,83.71,83.95,83.41,83.54,65.4437,7811142
2017-10-31,83.65,83.68,83.17,83.35,65.2949,9754213
2017-11-01,83.39,83.94,83.26,83.87,65.7022,9429983
2017-11-02,83.6,83.705,82.91,83.53,65.4359,7775467
2017-11-03,83.42,83.64,83.16,83.18,65.1617,6903526
2017-11-06,83.3,83.87,83.06,83.75,65.6082,9276669
2017-11-07,83.74,83.82,83.03,83.58,65.475,8471825
2017-11-08,83.36,83.5,82.86,83.47,65.3889,8691551
2017-11-09,83.3,84.14,83.08,83.97,65.7805,10528800
2017-11-10,83.01,83.08,82.42,82.94,65.575,8693652
2017-11-13,82.65,83.09,82.6,82.89,65.5355,6720400
2017-11-14,82.42,82.75,82.09,82.24,65.0215,9251742
2017-11-15,81.75,82.09,81.15,81.21,64.2072,9663606
2017-11-16,80.44,80.85,80.145,80.56,63.6933,10527200
2017-11-17,80.32,80.66,80.16,80.24,63.4403,9536383
2017-11-20,80.23,80.64,80.01,80.55,63.6854,8468631
2017-11-21,80.69,81.25,80.64,80.87,63.9384,8838367
2017-11-22,81.16,81.4051,81.05,81.1,64.1202,7941632
2017-11-24,81.44,81.7,81.22,81.42,64.3732,3851283
2017-11-27,81.32,81.4,81.02,81.11,64.1281,9127527
2017-11-28,81.41,81.999,81.31,81.67,64.5709,9794574
2017-11-29,81.65,82.31,81.48,82.27,65.0453,9724992
2017-11-30,82.45,83.4,82.41,83.29,65.8517,18592680
2017-12-01,83.44,84.13,82.41,83.46,65.9861,13779250
2017-12-04,83.21,84.175,83.0,83.57,66.0731,12597710
2017-12-05,83.5,83.77,82.71,82.89,65.5355,9357185
2017-12-06,83.08,83.2,82.21,82.28,65.0532,13398870
2017-12-07,82.4,82.62,82.17,82.55,65.2666,11359600
2017-12-08,82.75,82.9,82.26,82.66,65.3536,11988630
2017-12-11,82.95,83.25,82.74,83.03,65.6461,8760735
2017-12-12,83.09,83.38,82.7,82.76,65.4327,11307030
2017-12-13,82.61,83.3,82.48,83.12,65.7173,10172650
2017-12-14,83.03,83.33,82.89,82.9,65.5434,9492394
2017-12-15,83.16,83.28,82.87,83.03,65.6461,26582330
2017-12-18,83.18,83.6744,82.91,82.94,65.575,9363466
2017-12-19,83.03,83.17,82.33,82.44,65.1797,10285050
2017-12-20,82.6,83.14,82.5201,82.87,65.5196,10620310
2017-12-21,83.35,84.27,82.96,83.85,66.2945,13578130
2017-12-22,83.88,84.02,83.6,83.97,66.3893,10161450
2017-12-26,83.96,84.36,83.9,83.98,66.3972,4777216
2017-12-27,83.99,84.1,83.74,83.9,66.334,7000612
2017-12-28,83.98,84.05,83.8,84.02,66.4289,7495254
2017-12-29,84.0,84.2,83.64,83.64,66.1284,8523411
2018-01-02,83.82,85.195,83.66,85.03,67.2274,11469250
2018-01-03,85.16,86.965,84.82,86.7,68.5478,13957740
2018-01-04,86.79,87.22,86.43,86.82,68.6426,10863030
2018-01-05,86.75,86.88,85.705,86.75,68.5873,11047570
2018-01-08,86.7,87.15,86.6034,87.14,68.8956,10927090
2018-01-09,86.94,87.15,86.65,86.77,68.6031,8131631
2018-01-10,87.0,87.19,85.98,86.08,68.0576,10822330
2018-01-11,86.36,87.37,85.93,86.93,68.7296,14366030
2018-01-12,87.2,87.99,87.18,87.52,69.1961,9834511
2018-01-16,87.74,87.76,86.6,86.97,68.7612,10882790
2018-01-17,87.2,88.21,86.93,88.0,69.5756,10545960
2018-01-18,87.77,88.19,87.34,87.43,69.1249,9223679
2018-01-19,87.57,87.76,86.61,87.15,68.9035,13090030
2018-01-22,87.17,88.29,87.05,88.25,69.7732,10270380
2018-01-23,88.25,88.46,87.74,88.3,69.8128,10281820
